index,sentences,greeting,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement
15262,no i can not give up the book,,,,,,,,,
15263,then we don't have a deal,,,,,,,,,
15264,sorry no deal,,,,,,,,,
15265,i can't get the no deal button to work,,,,,,,,,
15266,i will take the basketball and book . you take the hats,,,,,,,,,
15267,you take the ball and i will take the rest,,,,,,,,,
15268,i need ball,,,,,,,,,
15269,ok,,,,,,,,,
15270,i would like the hats and the balls .,,,,,,,,,
15271,how about two hats and one ball instead ?,,,,,,,,,
15272,i can give you one hat and the balls,,,,,,,,,
15273,"okay deal , you can take two hats and one ball",,,,,,,,,
15274,hello . i would like 2 basketballs and one hat .,,,,,,,,,
15275,"one basketball , one hat , one book each . down the middle .",,,,,,,,,
15276,how about one basketball and one hat each ?,,,,,,,,,
15277,cool .,,,,,,,,,
15278,"i would like 2 hats , you can have the rest",,,,,,,,,
15279,okay .,,,,,,,,,
15280,hello i would like the hats and the book,,,,,,,,,
15281,is there anyway you would be willing to accept the book instead ?,,,,,,,,,
15282,if that is the best you can offer . deal .,,,,,,,,,
15283,"hi , can i just take the 2 balls ?",,,,,,,,,
15284,"sorry , that does not work for me . i really need the 2 balls and that`s it",,,,,,,,,
15285,can i get the two books and the hats ?,,,,,,,,,
15286,does not make much sense,,,,,,,,,
15287,"yes , can i have the two books ? you can have the rest",,,,,,,,,
15288,yes,,,,,,,,,
15289,one book and one hat,,,,,,,,,
15290,for you,,,,,,,,,
15291,ok just two ooks,,,,,,,,,
15292,need books and one ball,,,,,,,,,
15293,can i get both books and the hat ?,,,,,,,,,
15294,gimme books and one ball then,,,,,,,,,
15295,what is most valuable to you ?,,,,,,,,,
15296,"the balls are valuable to me as well . i would prefer the hat and two balls , and i would be glad to give you the books .",,,,,,,,,
15297,"no , i definitely need the hat . sorry . i might be able to compromise with the hat and just one ball , i suppose .",,,,,,,,,
15298,okay . that's fair .,,,,,,,,,
15299,i take the rest,,,,,,,,,
15300,deal,,,,,,,,,
15301,hi i want the book .,,,,,,,,,
15302,"ok , you can have the rest . i just want the book .",,,,,,,,,
15303,i need at least 2 balls,,,,,,,,,
15304,if i can have the book and the balls you can have the hats,,,,,,,,,
15305,okay you can have two balls and two hats,,,,,,,,,
15306,i'd like the books and balls ; hat is no use to me . make me an offer .,,,,,,,,,
15307,"hat any value to you ? you wouldn't be interested in 3 books , 1 ball for me would you ? : )",,,,,,,,,
15308,"alright . is it 0 or minimal value ? i'll take books , but we need to know who gets the hat . i don't need it .",,,,,,,,,
15309,what would you like,,,,,,,,,
15310,i need the balls but you can have the rest,,,,,,,,,
15311,hat has no value for me . . .,,,,,,,,,
15312,i'll take it,,,,,,,,,
15313,i get the ball you get the rest .,,,,,,,,,
15314,okay deal .,,,,,,,,,
15315,i'll take one hat and one ball and i will give you three books . will this work for you ?,,,,,,,,,
15316,i really need the hat as well . i'll give you everything else for the hat,,,,,,,,,
15317,that is the best i can do . so i will take the hat and you can have everything else .,,,,,,,,,
15318,nope . really need the hat and a little bit of everything else .,,,,,,,,,
15319,"okay , if that's the best you can do .",,,,,,,,,
15320,that's tough . i like the books too . i'll let you have the two books if you give me the hats and the ball .,,,,,,,,,
15321,i like the books,,,,,,,,,
15322,ok,,,,,,,,,
15323,i'll give you 1 hat for 1 book and 2 balls,,,,,,,,,
15324,2 hats for 1 book and 2 balls,,,,,,,,,
15325,3 hats for 1 book and 2 balls,,,,,,,,,
15326,no deal,,,,,,,,,
15327,1 book and 1 ball for me,,,,,,,,,
15328,"how about i get 1 book and 2 hats , you get rest",,,,,,,,,
15329,how about i get the book and a hat,,,,,,,,,
15330,book and 2 hats for me,,,,,,,,,
15331,all hats and balls for me,,,,,,,,,
15332,deal,,,,,,,,,
15333,i can offer you either a hat or a book,,,,,,,,,
15334,can you do without all of them ?,,,,,,,,,
15335,okay ill give you three hats and the book,,,,,,,,,
15336,i would like all the hats .,,,,,,,,,
15337,i can take three of them and either the book or ball,,,,,,,,,
15338,deal,,,,,,,,,
15339,i want the hat and books,,,,,,,,,
15340,"split the books , you take the balls and i take the hat ?",,,,,,,,,
15341,yes,,,,,,,,,
15342,that or nothing,,,,,,,,,
15343,ok no deal,,,,,,,,,
15344,i want that too,,,,,,,,,
15345,i get the balls and one book ?,,,,,,,,,
15346,thats still low,,,,,,,,,
15347,nothing then,,,,,,,,,
15348,no deal,,,,,,,,,
15349,okay,,,,,,,,,
15350,no .,,,,,,,,,
15351,"honestly , my pictures have disappeared , so i need 3 of what's on top .",,,,,,,,,
15352,i'd like the hat .,,,,,,,,,
15353,did you want a ball ?,,,,,,,,,
15354,do you want 2 balls ?,,,,,,,,,
15355,i can trade 2 books .,,,,,,,,,
15356,i want the books,,,,,,,,,
15357,ok,,,,,,,,,
15358,"you can books and hats , they're worthless to me . i just want balls .",,,,,,,,,
15359,"great , and one ball and one hat",,,,,,,,,
15360,"i need one ball , one hat , one book",,,,,,,,,
15361,"giggles , no , one ball , two hats for me",,,,,,,,,
15362,"you get one ball and one book , i get the rest ?",,,,,,,,,
15363,deal,,,,,,,,,
15364,you can have the book,,,,,,,,,
15365,you can have all the hats and the book . i will take 2 balls,,,,,,,,,
15366,i need both balls ( ! ! : - ) you can have everything else,,,,,,,,,
15367,i can do 1 ball and the book,,,,,,,,,
15368,yes,,,,,,,,,
15369,i really want that ball ! how about you get everything else ?,,,,,,,,,
15370,that doesn't work for me . i love to shoot hoops . i would like to be the next mugsy bugs !,,,,,,,,,
15371,doesn't riding off in the sunset with a horse sound like a better deal ?,,,,,,,,,
15372,i don't think we are going to be able to make a deal . there is no way to cut that ball in half .,,,,,,,,,
15373,i can't do that . i am very sorry .,,,,,,,,,
15374,"hello ! how about i keep the ball , and you can have all of the hats and books ?",,,,,,,,,
15375,"i really want that ball too , though . how about you keep everything else ?",,,,,,,,,
15376,i'm michael jordan's little brother . i need that ball !,,,,,,,,,
15377,"nope , so how about you give me that ball ?",,,,,,,,,
15378,i'm really trying to be as good as my big brother . you might be a hero and see me play professionally on tv if you give me that ball .,,,,,,,,,
15379,gimme the hats and book,,,,,,,,,
15380,can i have 2 balls and 2 hats,,,,,,,,,
15381,deal,,,,,,,,,
15382,ill take the books but i need at least 1 hat,,,,,,,,,
15383,i need the hats and teh book,,,,,,,,,
15384,okay,,,,,,,,,
15385,"i'd like that book , can i intrest you in starting a cowboy basketball team ?",,,,,,,,,
15386,"you can have it all , except that book , gotta have the book .",,,,,,,,,
15387,you can have the balls i want the rest,,,,,,,,,
15388,sorry i cant give you both books i can give you a book and a ball,,,,,,,,,
15389,no one book and 1 ball,,,,,,,,,
15390,sorry that wont work for me thats the best i can do,,,,,,,,,
15391,guess so,,,,,,,,,
15392,i can give you a hat and a ball,,,,,,,,,
15393,"i really want the books , you can have the hats",,,,,,,,,
15394,one book and both balls,,,,,,,,,
15395,"sorry , but if i am only hetting one book , i need both balls",,,,,,,,,
15396,then i guess we are at a stalemate,,,,,,,,,
15397,what about the hats ?,,,,,,,,,
15398,"i wwant both hats , one book and one ball",,,,,,,,,
15399,its look even better to me .,,,,,,,,,
15400,well if you want the hat ill take all the books and the ball .,,,,,,,,,
15401,no this would bring my value super low .,,,,,,,,,
15402,yeah that will have to work .,,,,,,,,,
15403,the hat looks real real good to me . don't think i could give it up . what are your thoughts ?,,,,,,,,,
15404,i'm not sure about that ! i seriously can't make a deal without the hat . seriously can't .,,,,,,,,,
15405,"can i have the ball , too ?",,,,,,,,,
15406,"okay , i get the hat , you get the rest ?",,,,,,,,,
15407,one book and one hat,,,,,,,,,
15408,deal,,,,,,,,,
15409,give me the books and hats .,,,,,,,,,
15410,no . two books and one hat .,,,,,,,,,
15411,deal,,,,,,,,,
15412,i will take the ball . you can have the books and the hat .,,,,,,,,,
15413,"no , i need the ball , you can have the rest",,,,,,,,,
15414,"wow , neither can i !",,,,,,,,,
15415,bummer,,,,,,,,,
15416,"no problem , but you checked deal was agreed when it wasn't , so i'm going to have to return this hit",,,,,,,,,
15417,"hmmm , well i don't know what to do ! i can't check deal not agreed , because it's not an option that is clickable",,,,,,,,,
15418,"what if i take 1 book , 1 hat and 1 ball",,,,,,,,,
15419,i can't give up the ball,,,,,,,,,
15420,so i guess we can't reach a deal,,,,,,,,,
15421,sorry,,,,,,,,,
15422,i never checked deal agreed,,,,,,,,,
15423,i need the ball and books,,,,,,,,,
15424,"i would also like the book , you can keep the balls",,,,,,,,,
15425,i don't want any balls . i want the book,,,,,,,,,
15426,me too,,,,,,,,,
15427,"sure , but i will take everything else",,,,,,,,,
15428,i'd like the book and the balls .,,,,,,,,,
15429,i really want that book . you can have both hats and one ball .,,,,,,,,,
15430,the book is really the only thing i want .,,,,,,,,,
15431,can i have the book ?,,,,,,,,,
15432,deal .,,,,,,,,,
15433,no way . i will take the ball and 2 books .,,,,,,,,,
15434,okay deal .,,,,,,,,,
15435,i want everything .,,,,,,,,,
15436,no way . you can have one book and the ball .,,,,,,,,,
15437,"well , i could give up the hats , but i would rather have the books and the ball .",,,,,,,,,
15438,how about the hats and the ball ?,,,,,,,,,
15439,yes .,,,,,,,,,
15440,"so hats and ball to you , books to me , thank you .",,,,,,,,,
15441,hi i would like the hats and 2 books,,,,,,,,,
15442,could i have the hats and 1 book ?,,,,,,,,,
15443,and you get the 3 books ?,,,,,,,,,
15444,deal,,,,,,,,,
15445,thank you,,,,,,,,,
15446,hey there ! i'd like to take the hat and you can have everything else . : ),,,,,,,,,
15447,okay,,,,,,,,,
15448,ill take the balls but i need the book too,,,,,,,,,
15449,thanks,,,,,,,,,
15450,i would like the hats and the book .,,,,,,,,,
15451,deal .,,,,,,,,,
15452,i'll take the hat and balls,,,,,,,,,
15453,hat and 2 balls,,,,,,,,,
15454,hello,,,,,,,,,
15455,i will give you the hats,,,,,,,,,
15456,ok,,,,,,,,,
15457,i want the book and the ball,,,,,,,,,
15458,i'd need the book and at least 2 hats to be even sorta reasonable,,,,,,,,,
15459,no deal,,,,,,,,,
15460,it's not popping up,,,,,,,,,
15461,no deal,,,,,,,,,
15462,what would you like,,,,,,,,,
15463,how about the book and one hat,,,,,,,,,
15464,no deal,,,,,,,,,
15465,no deal,,,,,,,,,
15466,"no deal , be patient",,,,,,,,,
15467,"unfortunately , i can not make that deal . i need the hat and two balls you can have the book and two balls if that will work for you",,,,,,,,,
15468,i need the hat . if i can not get the hat i can not make a deal .,,,,,,,,,
15469,if i can have the hat and two balls you can have the book and two balls,,,,,,,,,
15470,okay thank you !,,,,,,,,,
15471,i'll take the hat and book,,,,,,,,,
15472,i'll take the hat and two balls,,,,,,,,,
15473,whats your deal,,,,,,,,,
15474,ok deal,,,,,,,,,
15475,i need two of the hats and the ball,,,,,,,,,
15476,"that doesn't work for me . everything's 2 , i need at least three objects to be worthwhile",,,,,,,,,
15477,that doesn't work since i need three items,,,,,,,,,
15478,no deal,,,,,,,,,
15479,"id like the book , 2 hats and a ball . . . what do you think ?",,,,,,,,,
15480,if you get the book i need the rest . . . book is 8 to me,,,,,,,,,
15481,i 100 % can not give up the book . you can have all the hats . i would like the balls but will split them up if we need to .,,,,,,,,,
15482,thats fine .,,,,,,,,,
15483,"sorry , i cant accept that . i would like the hat and ball and you can have the books",,,,,,,,,
15484,"sorry , looks like we wont be able to come up with a deal",,,,,,,,,
15485,"sorry , i need both the hat and ball to make it worthwhile for me",,,,,,,,,
15486,i understand . no deal then,,,,,,,,,
15487,no deal,,,,,,,,,
15488,"i'll take the ball , the hat and 1 book .",,,,,,,,,
15489,not acceptable . i'll take the ball and 2 books .,,,,,,,,,
15490,how about the hat and 3 books for myself ?,,,,,,,,,
15491,"ok , no deal . i must have either the hat or the ball .",,,,,,,,,
15492,no deal,,,,,,,,,
15493,i want both hats rest for you,,,,,,,,,
15494,ok deal,,,,,,,,,
15495,deal,,,,,,,,,
15496,i keep the ball you get eveyrthing else,,,,,,,,,
15497,deal .,,,,,,,,,
15498,hey there . i want all the balls .,,,,,,,,,
15499,deal,,,,,,,,,
15500,you can have them if you give me all of the hats and books,,,,,,,,,
15501,great,,,,,,,,,
15502,i want the ball and books,,,,,,,,,
15503,i want the ball and the books and your first born,,,,,,,,,
15504,not without your first born it wasnt . make a better offer,,,,,,,,,
15505,ok deal,,,,,,,,,
15506,i'd like the hat the ball and one book,,,,,,,,,
15507,nope . i think the deal i offered is fair .,,,,,,,,,
15508,ok . i'll take the three books .,,,,,,,,,
15509,cant happen . i need the book and one other item to make a deal with you,,,,,,,,,
15510,if you have the book i want everything else,,,,,,,,,
15511,i need the book and 2 balls,,,,,,,,,
15512,the book is a non negotiable,,,,,,,,,
15513,fine,,,,,,,,,
15514,you can have it as long as i can keep everything else .,,,,,,,,,
15515,i want the hat,,,,,,,,,
15516,ok,,,,,,,,,
15517,i'd like hat . you can have the rest .,,,,,,,,,
15518,"okay , that sounds good",,,,,,,,,
15519,"hello , i'd like the balls and hat . you can have the books .",,,,,,,,,
15520,i can't do that . i can give you the hat and two books .,,,,,,,,,
15521,best i can do is the hat and all three books .,,,,,,,,,
15522,"yes , i need those balls i'm afraid .",,,,,,,,,
15523,you can have one ball and one book if i get the rest .,,,,,,,,,
15524,how about you get one ball and the hat ?,,,,,,,,,
15525,"given you aren't getting both balls , what would you like ?",,,,,,,,,
15526,how about one ball and two books ?,,,,,,,,,
15527,we can agree on that then .,,,,,,,,,
15528,no can do id like the balls and hat,,,,,,,,,
15529,no deal,,,,,,,,,
15530,no deal we want the same things so were not going to be able to negoiate,,,,,,,,,
15531,so do i,,,,,,,,,
15532,no deal,,,,,,,,,
15533,nodeal,,,,,,,,,
15534,i want no deal i cant take one ball and one hat or one ball and one book i would rather have no deal,,,,,,,,,
15535,no deal im clicking the no deal,,,,,,,,,
15536,deal,,,,,,,,,
15537,i would like the hats,,,,,,,,,
15538,if i can have the hat i will give you everything else,,,,,,,,,
15539,perfect !,,,,,,,,,
15540,sounds great !,,,,,,,,,
15541,hi i would like the hats and ball and you can have the books,,,,,,,,,
15542,"ok , i can do that",,,,,,,,,
15543,i need the ball and the books,,,,,,,,,
15544,ok . . . i can do that .,,,,,,,,,
15545,i'd like balls and book .,,,,,,,,,
15546,hello i'm very interested in the books and balls,,,,,,,,,
15547,yes i will take all the balls,,,,,,,,,
15548,"oh sorry , i will take all the books , you can have all the hats and one ball",,,,,,,,,
15549,you can have the books and one hat if i can have the ball and two hats,,,,,,,,,
15550,i need the ball,,,,,,,,,
15551,okay great ! thank you !,,,,,,,,,
15552,no deal,,,,,,,,,
15553,the book and two hats for me,,,,,,,,,
15554,okay give me the ball and two hats,,,,,,,,,
15555,deal,,,,,,,,,
15556,if i can have the ball and the book you can have the hats,,,,,,,,,
15557,okay what deal do you propose ? i can not make a deal without the book and one other item,,,,,,,,,
15558,i can not make a deal without the book . i need the book and one other item,,,,,,,,,
15559,okay deal .,,,,,,,,,
15560,i would like the hats and the balls .,,,,,,,,,
15561,deal,,,,,,,,,
15562,could i have the book and 2 hats,,,,,,,,,
15563,yeah me too . its the only one of value for me,,,,,,,,,
15564,ok,,,,,,,,,
15565,no deal,,,,,,,,,
15566,i cant seem to get the no deal button to come up on my end,,,,,,,,,
15567,i need the book or no deal,,,,,,,,,
15568,"same , then its no deal",,,,,,,,,
15569,no deal ?,,,,,,,,,
15570,no deal,,,,,,,,,
15571,just keep going,,,,,,,,,
15572,i'll take the hat and 2 balls,,,,,,,,,
15573,unpossible . i'll take both books and the hat,,,,,,,,,
15574,"ok , i'll take one book and the hat",,,,,,,,,
15575,not possible i have to have the hat and 1 ball to make a deal,,,,,,,,,
15576,i need the balls and 1 book then,,,,,,,,,
15577,i want the hat and book,,,,,,,,,
15578,hat and 3 balls,,,,,,,,,
15579,yes,,,,,,,,,
15580,hi i would like the book and hat and you can have the balls,,,,,,,,,
15581,that wont work for me,,,,,,,,,
15582,you want the hat and 3 balls ?,,,,,,,,,
15583,ok deal,,,,,,,,,
15584,if i can have the balls and one book you can have the hat and one book,,,,,,,,,
15585,okay that will be fine .,,,,,,,,,
15586,how willing would you take the balls and the hat while i take the books ?,,,,,,,,,
15587,you can have the books but i want the hats and a ball,,,,,,,,,
15588,i would like the books and the balls .,,,,,,,,,
15589,deal .,,,,,,,,,
15590,i need 2 hats and book,,,,,,,,,
15591,"hey , i want the ball and two hats",,,,,,,,,
15592,i really want two hats and the ball,,,,,,,,,
15593,i need the balls and the hat,,,,,,,,,
15594,so i get 2 books and 2 balls,,,,,,,,,
15595,sounds good,,,,,,,,,
15596,"how about i keep the hat , and you can have 2 balls ?",,,,,,,,,
15597,yes,,,,,,,,,
15598,"i need the hats , you can have the rest",,,,,,,,,
15599,i can't do anything but 2 hats,,,,,,,,,
15600,so no deal,,,,,,,,,
15601,no deal,,,,,,,,,
15602,no deal,,,,,,,,,
15603,if you keep messaging it will eventually light up,,,,,,,,,
15604,"i'm sorry , i'm unable to do that . i need the ball , at least one hat and one book . even then i'd be taking a loss .",,,,,,,,,
15605,i can't give up any hats either . i'd need at least one .,,,,,,,,,
15606,"yes , no deal . sorry .",,,,,,,,,
15607,no deal,,,,,,,,,
15608,"i'm unable to select the ""no deal was agreed"" button . are you ?",,,,,,,,,
15609,three books for you and hat . i want the ball,,,,,,,,,
15610,gimme hat and 2 books,,,,,,,,,
15611,deal,,,,,,,,,
15612,"yeah i can't , i ll take hats and you take the rest",,,,,,,,,
15613,why don't you take all balls and book,,,,,,,,,
15614,so no deal,,,,,,,,,
15615,no deal,,,,,,,,,
15616,no deal,,,,,,,,,
15617,hi i would like the hats and balls and you can have the book,,,,,,,,,
15618,that wont work for me . no deal,,,,,,,,,
15619,that doesnt work for me,,,,,,,,,
15620,no deal,,,,,,,,,
15621,no deal,,,,,,,,,
15622,deal,,,,,,,,,
15623,ill take the book you get the rest .,,,,,,,,,
15624,ok i get the book you get the rest .,,,,,,,,,
15625,i need the same . can you part with the hats ?,,,,,,,,,
15626,"that won't work for me . i need the hats . if i can have one ball , one hat , and one book you can have the hat and the ball",,,,,,,,,
15627,okay if that is the best you can do .,,,,,,,,,
15628,i would like the hats and the book .,,,,,,,,,
15629,how about i take the hats and you take the rest ?,,,,,,,,,
15630,how about i get one hat and the book and you take the rest ? this is my last offer .,,,,,,,,,
15631,ill take the balls but i need at least 2 hats,,,,,,,,,
15632,ok . ill take that,,,,,,,,,
15633,i want the book and the hats,,,,,,,,,
15634,1 hat and the balls for you ?,,,,,,,,,
15635,i would like the hats and 2 books,,,,,,,,,
15636,ok,,,,,,,,,
15637,ok,,,,,,,,,
15638,you can have a hat and a ball i'll take the rest .,,,,,,,,,
15639,okay it's a deal .,,,,,,,,,
15640,i want the books and hats,,,,,,,,,
15641,i need that book,,,,,,,,,
15642,then i have to take everything else,,,,,,,,,
15643,nope,,,,,,,,,
15644,i take everything if i don't have the book,,,,,,,,,
15645,you can have all of the hats i need 1 book and 2 balls,,,,,,,,,
15646,"i also need the book , it is the only thing worth while for me'",,,,,,,,,
15647,how about i get the book and 1 ball ?,,,,,,,,,
15648,i am only taking 2 items come on,,,,,,,,,
15649,ok deal,,,,,,,,,
15650,"hello , i would like the book and either the balls or the hats please",,,,,,,,,
15651,not even saying please ?,,,,,,,,,
15652,what would you like ?,,,,,,,,,
15653,okay deal,,,,,,,,,
15654,you can't have it all,,,,,,,,,
15655,never,,,,,,,,,
15656,i need hats and two balls,,,,,,,,,
15657,i need the book and 1 hat,,,,,,,,,
15658,you have a deal . i'll take the rest .,,,,,,,,,
15659,i just wat the 2 hats,,,,,,,,,
15660,ok deal,,,,,,,,,
15661,hats have very little value to me . i don't care about the book . i need 1 ball at least,,,,,,,,,
15662,i was thinking 3 hats and a ball for me .,,,,,,,,,
15663,fine,,,,,,,,,
15664,if ic an have the balls and book you can have all three hats,,,,,,,,,
15665,"well in that case i need one ball , the book and 2 hats",,,,,,,,,
15666,"split it with you , two hats and a ball for you .",,,,,,,,,
15667,just that ?,,,,,,,,,
15668,two balls and one hat is good for me,,,,,,,,,
15669,hi i would like the books and balls and you can have the hat,,,,,,,,,
15670,you can have 2 balls and the hat i,,,,,,,,,
15671,"i need all three books , you can have the rest",,,,,,,,,
15672,that works for me . thank you !,,,,,,,,,
15673,okay . lets to it,,,,,,,,,
15674,i'd like 2 books and 1 hat please .,,,,,,,,,
15675,"great , thanks for your cooperation .",,,,,,,,,
15676,3 balls and 1 book,,,,,,,,,
15677,whoops sorry i'll give you 2 hats for the ball,,,,,,,,,
15678,i'll take it,,,,,,,,,
15679,deal,,,,,,,,,
15680,what would you like,,,,,,,,,
15681,there is only 1 ball,,,,,,,,,
15682,i will give you 4 hats for the rest,,,,,,,,,
15683,so i get the ball and tyhe book . deal,,,,,,,,,
15684,i will give you three balls,,,,,,,,,
15685,how about one hat ?,,,,,,,,,
15686,how about one of each ?,,,,,,,,,
15687,well the best i can do is give you two hats and one ball,,,,,,,,,
15688,i can only spare one hat,,,,,,,,,
15689,so you want just two hats ?,,,,,,,,,
15690,i'd like the book and 1 hat .,,,,,,,,,
15691,balls are 0 for me .,,,,,,,,,
15692,i can do both hats or 1 book and 1 hat .,,,,,,,,,
15693,balls are 0 for me .,,,,,,,,,
15694,i just want the two hats . balls are 0 for me .,,,,,,,,,
15695,you just offered 2 hats .,,,,,,,,,
15696,how about two books and the ball for me ?,,,,,,,,,
15697,what do you want,,,,,,,,,
15698,deal,,,,,,,,,
15699,agree,,,,,,,,,
15700,no deal,,,,,,,,,
15701,the ball and hat,,,,,,,,,
15702,you take the books i get the hat and ball,,,,,,,,,
15703,thx,,,,,,,,,
15704,i'd like the ball and the books and you can have the 2 hats,,,,,,,,,
15705,no deal . you can have the hats only .,,,,,,,,,
15706,no deal .,,,,,,,,,
15707,"okay , setting all numbers to 0 until no deal button shows up",,,,,,,,,
15708,no deal was agreed .,,,,,,,,,
15709,if i take the hats i need the books as well,,,,,,,,,
15710,i can't accept that deal . . . i would need the ball if i can not have the rest,,,,,,,,,
15711,okay no deal .,,,,,,,,,
15712,okay no deal .,,,,,,,,,
15713,no deal .,,,,,,,,,
15714,hey i want two books a ball and a hat,,,,,,,,,
15715,how about you take just the hat ?,,,,,,,,,
15716,ok,,,,,,,,,
15717,yes,,,,,,,,,
15718,you take the books and i will take the hat and the ball,,,,,,,,,
15719,i can't make a deal without both the hat and the ball,,,,,,,,,
15720,so you take the books and i take the hat and the ball,,,,,,,,,
15721,if i can have the book and the balls you can have the hat,,,,,,,,,
15722,no deal . i need the book and two balls you can have the hat and one ball,,,,,,,,,
15723,i can not make that deal . i would have a low score .,,,,,,,,,
15724,definitely not a good deal for me . the only thing i could do for a very low score would be for me to take the balls and you can have the rest,,,,,,,,,
15725,definitely won't work . i don't think we can make a deal .,,,,,,,,,
15726,can't do that . what if i get the hat and all of the balls,,,,,,,,,
15727,no way . how about i get the hat and two balls,,,,,,,,,
15728,so will i . what if i take all three balls .,,,,,,,,,
15729,don't think i can do that . what if i get the book and one ball ?,,,,,,,,,
15730,"okay , no deal",,,,,,,,,
15731,hey there ! can i have the hat ? you can keep everything else .,,,,,,,,,
15732,hat is the only item with a value . i can't give it up . you can keep the books and the balls .,,,,,,,,,
15733,how about you take all the balls and i get the hat and books ?,,,,,,,,,
15734,"okay , agreed .",,,,,,,,,
15735,"i'll take the hats and one ball , and you can have the rest .",,,,,,,,,
15736,ok,,,,,,,,,
15737,i would like 1 book and 2 balls .,,,,,,,,,
15738,no thanks . the book is the highest value to me . i'll take 1 book and 1 ball .,,,,,,,,,
15739,i would like to keep the book . take all the balls . i'll take the hats if you can spare them .,,,,,,,,,
15740,deal .,,,,,,,,,
15741,"im keeping the ball , you can have the hats",,,,,,,,,
15742,then a hat and a ball ?,,,,,,,,,
15743,okay . 2 hats and a ball,,,,,,,,,
15744,i'd like 2 hats and a ball please .,,,,,,,,,
15745,"nah , that won't work for me .",,,,,,,,,
15746,i can do 2 balls and a hat or 2 hats and a ball,,,,,,,,,
15747,"okay deal , thanks .",,,,,,,,,
15748,i would like the hat and the ball,,,,,,,,,
15749,books and one hat to me,,,,,,,,,
15750,you keep the balls i keep the hat and the book,,,,,,,,,
15751,"so do i , i have to have the book and the hat or no deal",,,,,,,,,
15752,"no hat , no deal",,,,,,,,,
15753,no deal,,,,,,,,,
15754,no deal,,,,,,,,,
15755,"sorry mate , but i need that hat .",,,,,,,,,
15756,"i'm ok with giving you the book , but not the hat .",,,,,,,,,
15757,"no deal then , i can't give up the hat .",,,,,,,,,
15758,no deal .,,,,,,,,,
15759,i wonder how many more times we have to say no deal until we can click no deal .,,,,,,,,,
15760,i need the hat and 2 books,,,,,,,,,
15761,without the hat i cannot make a deal,,,,,,,,,
15762,okay,,,,,,,,,
15763,i would like ball and hat,,,,,,,,,
15764,okay - you take hat and 1 book,,,,,,,,,
15765,i can give you all the hats,,,,,,,,,
15766,i could give you the hats and one ball,,,,,,,,,
15767,"ok , but i'd need two balls too",,,,,,,,,
15768,deal,,,,,,,,,
15769,"you can have 3 books , i'll take 1 of each",,,,,,,,,
15770,"the first deal works better for me , you can have the books if i get the hat and ball",,,,,,,,,
15771,i need all the books,,,,,,,,,
15772,if i can't have all the books i want 3 books and 1 hat,,,,,,,,,
15773,ok fine,,,,,,,,,
15774,hat and balls or books if not all balls,,,,,,,,,
15775,hat and balls,,,,,,,,,
15776,ok,,,,,,,,,
15777,give me the books and 2 balls,,,,,,,,,
15778,"take all balls , i get hat and books",,,,,,,,,
15779,"i take books and a ball , you get rest",,,,,,,,,
15780,i have to get 4 of any items . you can choose which 4 .,,,,,,,,,
15781,thank you very much .,,,,,,,,,
15782,the ball and the book are what i covet . . . i can cede the books,,,,,,,,,
15783,"usually i would reject that out of hand , , , but i can live with just the ball - the rest are yours",,,,,,,,,
15784,i also want the book along with the ball and 1 hat,,,,,,,,,
15785,i would like the book and a hat please,,,,,,,,,
15786,"i need hats for sure , and i want books , too . how about you ?",,,,,,,,,
15787,may i have one book in addition to the hats please ?,,,,,,,,,
15788,yay !,,,,,,,,,
15789,i need the balls and books . you can have the hats .,,,,,,,,,
15790,ok . i'll take the balls . you can have the hats . we'll divide the books .,,,,,,,,,
15791,agreed !,,,,,,,,,
15792,you take the hat i take the ball and the books,,,,,,,,,
15793,i can't make a deal without the ball,,,,,,,,,
15794,okay,,,,,,,,,
15795,okay,,,,,,,,,
15796,"no way , you can have all the books and i will take hat and ball .",,,,,,,,,
15797,i will then take hat and 2 books .,,,,,,,,,
15798,deal i take one hat and two books then .,,,,,,,,,
15799,i'll take the books if you take the rest .,,,,,,,,,
15800,ok,,,,,,,,,
15801,i could use the books and you can have everything else,,,,,,,,,
15802,no thanks if you give me 2 books you can have the rest,,,,,,,,,
15803,id like the hats and ball,,,,,,,,,
15804,ball for you and rest for me . . . . deal,,,,,,,,,
15805,i will give both hats and both books,,,,,,,,,
15806,gimme the hat and book,,,,,,,,,
15807,hmmm . no deal so soon ?,,,,,,,,,
15808,ok,,,,,,,,,
15809,"nope , i want the hat and the book",,,,,,,,,
15810,i want the book you take the rest,,,,,,,,,
15811,what would you like today ?,,,,,,,,,
15812,i just moved to texas and look like a yankee . i really need the hats but can negotiate the other,,,,,,,,,
15813,if i give up a hat i have to have the ball . i really hate reading so can give up those,,,,,,,,,
15814,ok . so i get 1 ball and i hat,,,,,,,,,
15815,"a ball , 2 hats , and a side of slaw",,,,,,,,,
15816,"one hat a piece , ball goes to me lone with one book",,,,,,,,,
15817,deal,,,,,,,,,
15818,if i can have the hat i will give you everything else,,,,,,,,,
15819,i can't make that trade . if i get the hat i can give you everything else,,,,,,,,,
15820,i can't agree to that . the best deal i can give is the one i stated .,,,,,,,,,
15821,you will get three books and two balls for one hat,,,,,,,,,
15822,if you want one of each why can't you take 3 of the books and 2 of the balls ?,,,,,,,,,
15823,okay then no deal .,,,,,,,,,
