index,sentences,template
19872,balls aint worth but a pence to me going to need more than that,_need (_balls:0) 
19886,all i need is the hat,_need (_hats:1 ) 
19968,alright i will take 2 books and the hat then .,_yes _need (_books:2 _hats:1 ) 
19978,3 books is worth one hat so i need one or the other,_misc (_hats:1 ) _need (_books:3 ) 
20015,agreed . thank you !,_deal 
20087,"alright i tell you wait , i don't really play basketball , so i'll let you have them . . i'll just take the rest of the junk off your hands . .",_need (_books:rest _hats:rest _balls:rest) _offer (_balls:all) 
20150,ball has no value need the book .,_need (_books:1 _balls:0) 
20179,"alright , you can have the hat , and the ball . i will take three books .",_need (_books:3 ) _offer (_hats:1 _balls:1) 
20221,all i want is the hat you can have the rest,_need (_hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
20254,2 books and one hat,_misc (_books:2 _hats:1 ) 
20262,awesome deal,_deal _thanks 
20271,and i get the rest then,_need (_books:rest _hats:rest _balls:rest) 
20273,any chance i can get the ball as well,_need (_balls:1) 
20292,"are the hats worth much to you , can i have 3 books 1 hat ?",_misc (_hats:all ) _need (_books:3 _hats:1 ) 
20346,: - ),_thanks 
20375,absolutely not . two books and a ball work though .,_counteroffer _misc (_books:2 _balls:1) 
20381,yup impossible unless one person gets low points glad you understand,_nodeal 
20409,and one ball,_misc (_balls:1) 
20414,"appears our point distirbution is different . i will concede ; i get 1 book , 1 hat . . you get 3 balls , and 1 hat ?",_need (_books:1 _hats:1 ) _offer (_hats:1 _balls:3) 
20478,"a book , a ball and three hats",_misc (_books:1 _hats:3 ) 
20492,ball has my name written on it,_need (_balls:1) 
20497,and we're not going to resolve it,_nodeal 
20524,"bad deal for me , they didn't give me a lot to work with .",_nodeal 
20526,1 ball for you . 3 books and 1 hat for me .,_need (_books:3 _hats:1 ) _offer (_balls:1) 
20530,bad deal for me then . . . why so mean ?,_nodeal 
20611,"alright , no deal .",_nodeal 
20620,"agreed , thank you",_deal 
20648,a book and two balls for me then ?,_need (_books:1 _balls:2) 
20651,are you interested in the hat at all ?,_misc (_hats:1 ) 
20660,1 hat 2 balls for m,_need (_hats:1 _balls:2) 
20661,1 ball 1 hat 2 books for me,_need (_books:2 _hats:1 _balls:1) 
20665,books and 1 hat for me,_need (_books:all _hats:1 ) 
20800,alright will take the balls .,_yes _need (_balls:all) 
20809,awesome,_deal 
20822,book is only thing of value to me,_need (_books:1 ) 
20895,are the books of any value to you ?,_misc (_books:all ) 
20897,any chance you'll take all the hats and leave me the book and the ball ?,_need (_books:1 _balls:1) _offer (_hats:all ) 
20916,"books are 0 for me ball is only 4 for me and hats 1 , i'm trying to have atleast 6 here =x",_need (_books:0 ) 
20970,deal . you get all 3 hats,_deal 
20985,"book , 2 hats and a ball for me",_need (_books:1 _hats:2 _balls:1) 
21007,book and 3 balls to me,_need (_books:1 _balls:3) 
21023,2 books,_misc (_books:2 ) 
21045,best i can do is the book and two hats,_misc (_books:1 _hats:2 ) 
21060,"agreed , you take the 4 books and i take ball and hat .",_deal _need (_hats:1 _balls:1) _offer (_books:4 ) 
21120,agree with no deal .,_nodeal 
21123,balls are worthless to me,_need (_balls:0) 
21182,"all 4 hats , no ball ?",_misc (_hats:4 _balls:0) 
21220,"alright , i'll take two hats and the two balls if they don't do a thing for you .",_deal _need (_hats:2 _balls:2) 
21224,"and we're still going to roll with an uneven split . in that case , i'll take the books and a hat , then ?",_need (_books:all _hats:1 ) 
21232,all thebooks,_misc (_books:all ) 
21236,ball for you rest for me,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
21255,all i want is the hat you can have everything else,_need (_hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
21356,"balls arnt doing much for me , that book though .",_need (_books:1 _balls:0) 
21408,agreed you get 1 book and i get everything else,_deal _need (_books:rest _hats:rest _balls:rest) _offer (_books:1 ) 
21418,"books and balls , and i keep the rest deal ?",_need (_books:rest _hats:rest _balls:rest) _offer (_books:all _balls:all) 
21430,book is most value to me too . . . do two hats and ball have any value to you if i took book and just 1 hat ?,_need (_books:1 _hats:1 ) 
21474,ok i appreciate it,_deal 
21518,2 balls and 1 book is what i need,_need (_books:1 _balls:2) 
21584,and split the books ?,_need (_books:1 ) _offer (_books:1 ) 
21621,all i want is the book,_need (_books:1 ) 
21660,3 hats and 1 book for me deal,_need (_books:1 _hats:3 ) 
21676,2 books and 1 ball please ?,_need (_books:2 _balls:1) 
21805,best i can do ; i definitely can't part with the hat .,_need (_hats:1 ) 
21812,actually i would like the two balls as nothing else is of value to me .,_need (_balls:2) 
21815,balls are not 5 each for me i have not value for the hat also does not indicate no value just no value to me .,_need (_hats:0 ) 
21822,"again ; basic math with 10 points distributed would state that your "" 2 balls would net you 4 points"" as a dishonest statement . i assume your balls are 4 each ; hat being 2 . we can do this dance or i take 5 points , you take 6 and we move on after wasting way",_counteroffer 
21824,alright this is taking too long ; no deal .,_nodeal 
21889,book and hats to you,_offer (_books:1 _hats:all ) 
21901,ball for me and i give all else . . . cant beat that,_need (_balls:1) _offer (_books:rest _hats:rest _balls:rest) 
21981,alright well i suggest we work this out then i would like two balls and ab ook you can have two hats and a ball,_need (_books:1 _balls:2) _offer (_hats:2 _balls:1) 
21982,"alright , you can have two hats , the book , and a ball .",_offer (_books:1 _hats:2 _balls:1) 
21990,"3 items will never equal 4 ; you'll have to try better than that . : ) - - i'll take the hat and 1 ball , you take the rest ?",_need (_hats:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
21999,2 books and 1 hat is my final offer,_misc (_books:2 _hats:1 ) 
22003,2 balls 1 hat for you,_offer (_hats:1 _balls:2) 
22005,all hats and ball ?,_misc (_hats:all _balls:1) 
22006,all hats and a ball final deal .,_misc (_hats:all _balls:1) 
22011,"3 balls , and a book",_misc (_books:1 _balls:3) 
22076,alright . i take the book . you take the rest .,_yes _need (_books:1 ) _offer (_books:rest _hats:rest _balls:rest) 
22144,2 hat and ball for me,_need (_hats:2 _balls:1) 
22155,book and i keep the rest,_need (_books:rest _hats:rest _balls:rest) _offer (_books:1 ) 
22179,"no , for me .",_nodeal 
22203,are the hats worth anyting at all for you ? because they aren't for me .,_misc (_hats:all ) 
22208,3 hats and 1 ball ?,_misc (_hats:3 _balls:1) 
22210,2 hats and 1 book ?,_misc (_books:1 _hats:2 ) 
22239,"1 book , 1 ball and 1 hat",_misc (_books:1 _hats:1 _balls:1) 
22246,book and hats and one ball for me,_need (_books:1 _hats:all _balls:1) 
22294,2 balls to me along with one hat,_need (_hats:1 _balls:2) 
22315,and i get the rest ?,_need (_books:rest _hats:rest _balls:rest) 
22333,all book to me,_need (_books:all ) 
22370,and no ball ? i would really like 1 ball at least .,_need (_balls:1) 
22421,are you sure you cannot give the hat up ?,_need (_hats:1 ) 
22435,"alright , so i get the books ?",_counteroffer _need (_books:all ) 
22440,book and balls to me,_need (_books:1 _balls:all) 
22467,blah blah blah no deal .,_nodeal 
22500,1 hat and what else ?,_misc (_hats:1 ) 
22538,"balls have no value for me , so you should take them all . only the books are valuable .",_need (_books:all _balls:0) _offer (_balls:all) 
22569,and the three hats .,_misc (_hats:3 ) 
22573,book and 2 hats to me,_need (_books:1 _hats:2 ) 
22599,all i am interested in is the basketball,_need (_balls:all) 
22667,all the balls if i get the hat too .,_need (_hats:1 ) _offer (_balls:all) 
22717,2 balls and 1 book please ?,_need (_books:1 _balls:2) 
22764,alright that works for me .,_deal 
22772,"balls are no points to me . i assume hats are low points to you as well and the book is mediocre - - - i'll take 1 book , 1 hat you can have the rest ?",_need (_books:1 _hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
22858,as i previously stated no deal .,_nodeal 
22916,best offer is i give you two balls and a book,_offer (_books:1 _balls:2) 
22918,okay deal : ),_deal 
22931,book is worth 7 to me,_need (_books:1 ) 
22964,all the balls to you for a hat and a book ?,_need (_books:1 _hats:1 ) _offer (_balls:all) 
22967,a book,_misc (_books:1 ) 
22977,1 hat and 1 book .,_misc (_books:1 _hats:1 ) 
23000,balls then hats here,_need (_hats:all _balls:all) 
23043,"books and hat to me , ball to you",_need (_books:all _hats:1 ) _offer (_balls:1) 
23044,ball and books to me,_need (_books:all _balls:1) 
23066,"not possible , no deal",_nodeal 
23102,1 hat 1 book,_misc (_books:1 _hats:1 ) 
23164,and the balls ?,_misc (_balls:all) 
23213,"alright , even though its a loss for me , you take the book , and i'll take the rest .",_deal _need (_books:rest _hats:rest _balls:rest) _offer (_books:1 ) 
23223,book has no value to me . need 1 ball,_need (_books:0 _balls:1) 
23260,1 book and 1 hat . final offer,_misc (_books:1 _hats:1 ) 
23268,annoyingly reasonable . . . 8 ^) . . . ill agree,_deal 
23334,2 balls and you can keep the hat,_need (_balls:2) _offer (_hats:1 ) 
23341,ball has to be mine,_need (_balls:1) 
23383,"ball , one book and one hat",_misc (_books:1 _hats:1 _balls:1) 
23406,and i can have the balls too ?,_need (_balls:all) 
23433,"afraid not , i will take the hat",_need (_hats:1 ) 
23494,"ah , that won't work very well . how about you take both hats and i get the rest ?",_counteroffer _need (_books:rest _hats:rest _balls:rest) _offer (_hats:2 ) 
23572,yes yes,_deal 
23589,and one ball ?,_misc (_balls:1) 
23721,agreed ; ) and good luck on your quest !,_deal 
23730,ball and 2 hats,_misc (_hats:2 _balls:1) 
23749,"awesome , glad we could both get what we wanted .",_deal 
23832,agreed then . thank you .,_deal 
23913,deal . thank you,_deal _thanks 
23945,2 balls and book for me,_need (_books:1 _balls:2) 
23963,alright i will take the 3 books and you take the hat and ball,_need (_books:3 ) _offer (_hats:1 _balls:1) 
23977,balls and either a book or hat then,_misc (_books:? _hats:? _balls:all) 
23994,"book and 2 hats to me , rest to you",_need (_books:1 _hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
23998,"book and two hats to me , plus a bean burrito",_need (_books:1 _hats:2 ) 
24017,balls and one book for me,_need (_books:1 _balls:all) 
24047,"4 books tome is okay , i guess",_deal _need (_books:4 ) 
24053,ball and one hat for me,_need (_hats:1 _balls:1) 
24054,1 ball ad 3 hats please,_need (_hats:3 _balls:1) 
24145,are you sure you can't take all three balls ?,_need (_balls:3) 
24184,agreed . i am not able to submit . can you ?,_deal 
24212,any chance we can split the balls ? we each get 3 items ? i'll take the hats and 1 ball ?,_need (_hats:all _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
24236,alright . i will take one book and one ball . you can have one book and one hat . deal ?,_yes _need (_books:1 _balls:1) _offer (_books:1 _hats:1 ) 
24239,1 book 1 ball,_misc (_books:1 _balls:1) 
24317,balls are worthless to me . i need the hats and book,_need (_books:1 _hats:all _balls:0) 
24341,bhahahahahahahaha . so i can have 0 points ? no thank you .,_nodeal 
24365,balls worth 0 for me,_need (_balls:0) 
24402,book and 3 balls for me,_need (_books:1 _balls:3) 
24432,all the books and 1 ball,_misc (_books:all _balls:1) 
24454,1 book 3 hats and the ball,_misc (_books:1 _hats:3 _balls:1) 
24455,1 hat .,_misc (_hats:1 ) 
24512,"book and balls to me , hats to you",_need (_books:1 _balls:all) _offer (_hats:all ) 
24554,book and one hat for me .,_need (_books:1 _hats:1 ) 
24643,"as you seem passionate about both books , i can let you have two along with the bowl in exchange for future considerations .",_offer (_books:2 _balls:1) 
24657,lol . no .,_nodeal 
24675,"alright , so i get book and two hats",_deal _need (_books:1 _hats:2 ) 
24742,along with one hat,_misc (_hats:1 ) 
24774,agreed deal !,_deal 
24786,"alright , no deal for both",_nodeal 
24827,. . . then the only way to make this work is i keep everything else and you take the book ? deal ?,_need (_hats:all _balls:all) _offer (_books:1 ) 
24833,"2 : 3 is fair , as in one ball and one hat for me , one hat and two books for you .",_need (_hats:1 _balls:1) _offer (_books:2 _hats:1 ) 
24839,4 : 1 is not fair . you can have both hats and one book .,_counteroffer _offer (_books:1 _hats:2 ) 
24867,book and the balls if you are taking the hat . take it or leave it .,_need (_books:1 _balls:all) _offer (_hats:1 ) 
24941,all the rest is too low,_nodeal 
24967,balls are no value to me . . . i need the book and at least 1 hat .,_need (_books:1 _hats:1 ) 
24972,balls are worthless for me .,_need (_balls:0) 
24990,1 book and 1 hat for you,_offer (_books:1 _hats:1 ) 
25039,1 ball 1 hat and 1 book,_misc (_books:1 _hats:1 _balls:1) 
25049,any chance i can get one of the hats and the book ?,_need (_books:1 _hats:1 ) 
25199,alright take the ball and one book then .,_yes _offer (_books:1 _balls:1) 
25230,a ball and hat,_misc (_hats:1 _balls:1) 
25242,2 balls and we have a deal,_misc (_balls:2) 
25283,are you a basketball fan ?,_misc (_balls:all) 
25322,there is no deal here,_nodeal 
25324,"3 hats to me , the book , and 2 balls . you get valentine signed by yours truly .",_misc (_books:1 _balls:2) _need (_hats:3 ) 
25330,ball is yours . i need the books but i can give you 1 hat if you need it .,_need (_books:all ) _offer (_hats:1 _balls:1) 
25349,4 balls and the hat to me,_need (_hats:1 _balls:4) 
25378,"ball and a book for me , the rest to you",_need (_books:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
25394,"1 book , 1 ball for me ; 3 hats , 1 ball for you ? deal .",_need (_books:1 _balls:1) _offer (_hats:3 _balls:1) 
25420,"fine , thanks",_deal 
25439,"um , no",_nodeal 
25458,3 hats for 1 book and 3 balls,_need (_hats:3 ) _offer (_books:1 _balls:2) 
25499,ball and 2 books please and you could keep the rest,_need (_books:2 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
25509,nah son,_nodeal 
25511,and since you're a condescending and off - putting you get no deal .,_nodeal 
25576,"at the least i would need the ball , a book and a hat .",_need (_books:1 _hats:1 _balls:1) 
25611,3 balls no hat,_misc (_hats:0 _balls:3) 
25644,"alright , deal . i take the ball , you take the rest .",_deal _need (_balls:1) _offer (_books:rest _hats:rest _balls:rest) 
25658,1 book and give ne the ball,_need (_balls:1) _offer (_books:1 ) 
25712,"1 ) one book and one hat , or 2 ) two hats .",_misc (_books:1 _hats:1 ) 
25715,ball is not even negotiable at this point . i've given you options while you just suggest random things . you can have an unsuited pair (book & hat) or a suited pair of hats .,_need (_balls:1) _offer (_books:1 _hats:1 ) 
25716,no . choose .,_nodeal 
25724,"4 of a kind aces , i win ? gimme book and both hats , and half the ball .",_need (_books:1 _hats:2 ) 
25726,ball for everything else,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
25728,ball for all others,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
25757,alright youcan have three hats and one book ?,_offer (_books:1 _hats:3 ) 
25823,"book is straight up the only thing that has value for me , i would like it and nothing else .",_need (_books:1 ) 
25840,and i need the hats and ball,_need (_hats:all _balls:1) 
25843,2 hats and 2 books for me ?,_need (_books:2 _hats:2 ) 
25853,"agreed , no deal .",_nodeal 
25868,ball and two books is perfectly fair,_misc (_books:2 _balls:1) 
25897,"ball is useless to me . . no points . can you propose something better ? i'm ok with one book , two hats ?",_need (_books:1 _hats:2 _balls:0) 
25899,are you willing to let go of the hat for the rest of the stuff ?,_need (_hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
25981,balls have 0 value for me,_need (_balls:0) 
26024,all i need is the the ball .,_need (_balls:1) 
26053,book and one ball for you,_offer (_books:1 _balls:1) 
26060,"yep , thanks",_deal 
26079,alright sounds good .,_deal 
26103,as long as i can get the hat too .,_need (_hats:1 ) 
26146,"1 hat or the rest are the same amount of points for me , and its low",_need (_hats:1 ) 
26190,book is worth 6 to me the hats are worth 0 . i have to have the book for this to remotely work .,_need (_books:1 _hats:0 ) 
26203,book yes but only one hat for you,_need (_books:1 ) _offer (_hats:1 ) 
26215,are we at no deal territory,_nodeal 
26230,: - ) yeah that's exactly what i need for my friend with skin cancer who is in the hospital,_thanks 
26243,yess,_deal 
26258,and the hats ?,_misc (_hats:all ) 
26330,"agreed , how much ball worth ?",_deal _misc (_balls:1) 
26377,ball and three hats for me,_need (_books:3 _balls:1) 
26378,ball to you everything else to me,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
26383,"alright , the balls and one book ?",_counteroffer _misc (_books:1 _balls:all) 
26425,and i get the balls and one hat ? deal,_yes _need (_hats:1 _balls:all) 
26449,any way you'd give up the book for balls ?,_need (_hats:1 ) _offer (_balls:all) 
26532,boo,_nodeal 
26553,balls worthless to me,_need (_balls:0) 
26618,books and hat please,_need (_books:all _hats:1 ) 
26662,all i want is the hat and the balls,_need (_hats:1 _balls:all) 
26691,"alright , i'll take both books and the hats .",_deal _need (_books:all _hats:all ) 
26705,balls are worth nothing to me,_need (_balls:0) 
26709,2 hats and 2 balls then ?,_misc (_hats:2 _balls:2) 
26710,2 balls and 2 hats ?,_misc (_hats:2 _balls:2) 
26712,2 hats 1 ball and 2 books ?,_misc (_books:2 _hats:2 _balls:1) 
26714,2 hats and 2 books,_misc (_books:2 _hats:2 ) 
26781,1 book and 1 ball for me ? the rest for you ? deal,_need (_books:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
26846,because i need to make a decent score . . . . . .,_nodeal 
26859,"and i would like a million dollars , you take oe ball and one book",_offer (_books:1 _balls:1) 
26860,ball and two books for you,_offer (_books:2 _balls:1) 
26900,"ball , one hat , one book .",_misc (_books:1 _hats:1 _balls:1) 
26937,balls are zero for me =\,_need (_balls:0) 
26945,"all hats yes but no ball , no book then i can't have that much",_misc (_books:0 _hats:all _balls:0) 
26959,and i would only have 3 if you get the ball and book .,_offer (_books:1 _balls:1) 
26961,book and hats is only 4,_misc (_books:1 _hats:all ) 
26984,"alas , i'm going to need either the hat or the ball in addition to the balls to fight battles of my own",_need (_hats:1 _balls:1) 
27009,deal . you get 1 book and 1 ball,_deal 
27014,books are 0 for me .,_need (_books:0 ) 
27089,"all hats to me , you get the rest",_need (_hats:all ) _offer (_books:rest _hats:rest _balls:rest) 
27153,"alright , you can have the ball . . . i'll take the hat and wear it with pride !",_yes _need (_hats:1 ) _offer (_balls:1) 
27190,at least one book . 3 hats and one book,_misc (_books:1 _hats:3 ) 
27204,balls hace zero value on my end,_need (_balls:0) 
27236,"balls worth little , need book",_need (_books:1 _balls:0) 
27294,balls have 0 value for me . how about i take the hat and you get the rest ?,_need (_hats:1 _balls:0) _offer (_books:rest _hats:rest _balls:rest) 
27367,are you sure ? my grandma really needs the ball,_need (_balls:1) 
27445,and im betting those balls are worth a lot more to you than me and those books less so how about you keep your balls and i'll take those books and hat,_need (_books:all _hats:1 ) _offer (_balls:all) 
27521,as i said no deal .,_nodeal 
27525,book or no deal here,_need (_books:1 ) 
27553,3 books and a hat,_misc (_books:3 _hats:1 ) 
27564,1 hat 1 ball and i keep the rest,_need (_books:rest _hats:rest _balls:rest) _offer (_hats:1 _balls:1) 
27565,3 balls and a hat ?,_misc (_hats:1 _balls:3) 
27566,haha no,_nodeal 
27592,books all yours but not the hat,_need (_hats:1 ) _offer (_books:all ) 
27647,alrighty,_deal 
27763,book is 7 for me .,_need (_books:1 ) 
27776,1 of my books for 1 of your hats,_need (_hats:1 ) _offer (_books:1 ) 
27817,"2 hats and a book for me , you get rest ?",_need (_books:1 _hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
27873,all i need is the hat and the ball .,_need (_hats:1 _balls:1) 
27914,ball is 7 .,_need (_balls:1) 
27946,thanks : ),_deal 
28019,ball and hat for me please,_need (_hats:1 _balls:1) 
28020,and the book,_misc (_books:1 ) 
28095,"as it is to me , you can have everything else if i can have the hat",_need (_hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
28119,deal 7,_deal 
28221,book is 6 points for me . i don't deal for less than 6 .,_need (_books:1 ) 
28315,book is the onlything with points,_need (_books:1 ) 
28318,no deal : /,_nodeal 
28388,alright that works,_deal 
28422,actually can i have the other book too . i've never got two books,_need (_books:2 ) 
28447,books and the ball,_misc (_books:all _balls:1) 
28470,balls and one hat for you,_offer (_hats:1 _balls:all) 
28486,book and one ball for me,_need (_books:1 _balls:1) 
28523,"and ill take the hats and the ball , deal",_need (_hats:all _balls:1) 
28583,add a hat to that and we have a deal .,_misc (_hats:1 ) 
28704,ball and two hats . or the ball and a book thems my offers .,_misc (_hats:2 _balls:1) 
28757,"alright , hitting no deal reach . have a good one .",_nodeal 
28760,"best i can do is i keep the hat , you get everything else .",_need (_hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
28769,and would like a million dollars with that too,_nodeal 
28798,2 balls and 1 book and we have a deal,_misc (_books:1 _balls:2) 
28810,a ball and a book .,_misc (_books:1 _balls:1) 
28841,"no ,",_nodeal 
28846,"alright , hats and 2 books .",_deal _misc (_books:2 _hats:all ) 
28863,2 hats and the book .,_misc (_books:1 _hats:2 ) 
28884,2 balls 1 book is my best offer,_misc (_books:1 _balls:2) 
28915,"and i keep the rest , how much is book to you",_need (_books:rest _hats:rest _balls:rest) 
28935,books are 0 s .,_need (_books:0 ) 
28957,"alright , no deal !",_nodeal 
28972,2 balls and you get eveything else ?,_need (_balls:2) _offer (_books:rest _hats:rest _balls:rest) 
28998,deal . no need to be pissy,_deal 
29032,"book is my high one as well . i can give you the book 1 and 1 ball , i take the rest",_need (_books:rest _hats:rest _balls:rest) _offer (_books:1 _balls:1) 
29047,and i'd take one hat and the balls ?,_need (_hats:1 _balls:all) 
29118,bold strategy cotton lets see how it works out for him . i would like two books and the ball .,_need (_books:2 _balls:1) 
29137,alright i guess so .,_deal 
29146,! book and 4 hats to you,_offer (_books:1 _hats:4 ) 
29166,"3 balls to you , the rest to me",_need (_books:rest _hats:rest _balls:rest) _offer (_balls:3) 
29330,balls are the only thing i need,_need (_balls:all) 
29386,book and hat then,_misc (_books:1 _hats:1 ) 
29425,2 hats 3 balls,_misc (_hats:2 _balls:3) 
29431,being honest i have 0 use for the balls .,_need (_balls:0) 
29433,"aint pretty on my end either , think we both are getting the shaft on this one , i'll settle on 3 hats .",_counteroffer _need (_hats:3 ) 
29444,2 hats and 3 balls for you,_offer (_hats:2 _balls:3) 
29456,bah ! the ball is you're only sticking point for real ?,_nodeal _misc (_balls:1) 
29497,balls have zero value for me,_need (_balls:0) 
29570,1 of each item i can do,_misc (_books:1 _hats:1 _balls:1) 
29575,2 balls and a hat to you ?,_offer (_hats:1 _balls:2) 
29593,ball and 1 book is my best offer .,_misc (_books:1 _balls:1) 
29608,2 books and a hat,_misc (_books:2 _hats:1 ) 
29677,2 books and 2 hats,_misc (_books:2 _hats:2 ) 
29725,4 books and 1 hat to me ?,_need (_books:4 _hats:1 ) 
29786,"bad deal for me , i take hat and one ball",_counteroffer _need (_hats:1 _balls:1) 
29809,book plus one ball ?,_misc (_books:1 _balls:1) 
29821,3 hats and 1 book and we have a deal,_misc (_books:1 _hats:3 ) 
29917,4 books ?,_misc (_books:4 ) 
29918,all the books and hats,_misc (_books:all _hats:all ) 
29919,1 hat 4 books ?,_misc (_books:4 _hats:1 ) 
29967,no d 3 eal,_nodeal 
29992,alright . i will take the hats . you take the book and the ball .,_yes _need (_hats:all ) _offer (_books:1 _balls:1) 
30002,book for you,_offer (_books:1 ) 
30007,best i can do is take one hat and the book,_need (_books:1 _hats:1 ) 
30040,and i get the two books and the ball,_need (_books:2 _balls:1) 
30042,3 hats 1 book,_misc (_books:1 _hats:3 ) 
30242,balls are mine you can have one book though,_need (_balls:all) _offer (_books:1 ) 
30245,"2 books and 3 hats for me and we have a deal , the balls are worth more for you",_need (_books:2 _hats:3 ) _offer (_balls:all) 
30293,1 book and 1 ball ?,_misc (_books:1 _balls:1) 
30304,and i take the ball as well ?,_need (_balls:1) 
30326,"bad deal for me , gimme books and a ball",_counteroffer _need (_books:all _balls:1) 
30356,are you serious ? how is that a legitmate offer ?,_nodeal 
30363,are you serious ? how is that a legitimate offer ?,_nodeal 
30364,1 book is a joke,_nodeal _misc (_books:1 ) 
30368,1 book and 1 hat for me ? deal,_need (_books:1 _hats:1 ) 
30369,1 book 1 hat,_misc (_books:1 _hats:1 ) 
30461,book and hat for you then,_offer (_books:1 _hats:1 ) 
30477,book please,_need (_books:1 ) 
30492,"1 ball , 1 hat , and all the books .",_misc (_books:all _hats:1 _balls:1) 
30504,deal . you can have the book and i take the 3 hats and 1 basketball .,_deal 
