g,dialog,selection,reward,outcome
2 4 2 1 1 0 ,"[""YOU: i'm not athletic you i don' need the ball , but i will take the books and a hat "", ' THEM: you can have both hats if i can have a book ', ' YOU: i need both of the books . you can have the ball and both hats though . ', ' THEM: ok deal , thanks ']", item0=2 item1=0 item2=0 ,8 agree, 2 2 2 0 1 6
2 2 2 0 1 6 ,"[""THEM: i'm not athletic you i don' need the ball , but i will take the books and a hat "", ' YOU: you can have both hats if i can have a book ', ' THEM: i need both of the books . you can have the ball and both hats though . ', ' YOU: ok deal , thanks ']", item0=0 item1=2 item2=1 ,6 agree, 2 4 2 1 1 0
2 1 2 1 2 3 ,"['THEM: if i can have the books you can have everything else ', ' YOU: deal . ', ' THEM: great ! thank you ! ']", item0=0 item1=2 item2=2 ,8 agree, 2 5 2 0 2 0
2 5 2 0 2 0 ,"['YOU: if i can have the books you can have everything else ', ' THEM: deal . ', ' YOU: great ! thank you ! ']", item0=2 item1=0 item2=0 ,10 agree, 2 1 2 1 2 3
1 9 3 0 1 1 ,"[""YOU: i don't like wearing hats , so you can have all of those ! i will just take the book and ball ""]", item0=1 item1=0 item2=1 ,10 disagree, 1 4 3 1 1 3
1 3 4 0 1 7 ,"['YOU: i would like 1 ball and 1 book , you could take all of the hats ? ', ' THEM: deal . ']", item0=1 item1=0 item2=1 ,10 agree, 1 0 4 2 1 2
1 0 4 2 1 2 ,"['THEM: i would like 1 ball and 1 book , you could take all of the hats ? ', ' YOU: deal . ']", item0=0 item1=4 item2=0 ,8 agree, 1 3 4 0 1 7
2 2 2 2 1 2 ,"['THEM: i would like the 2 books ', "" YOU: i'll give you the two books if i can have the two hats and the ball . "", ' THEM: yes that sounds like a deal ']", item0=0 item1=2 item2=1 ,6 agree, 2 4 2 1 1 0
2 4 2 1 1 0 ,"['YOU: i would like the 2 books ', "" THEM: i'll give you the two books if i can have the two hats and the ball . "", ' YOU: yes that sounds like a deal ']", item0=2 item1=0 item2=0 ,8 agree, 2 2 2 2 1 2
3 0 1 7 3 1 ,"['THEM: i would like the books and the hat . ', ' YOU: you can have the books , i need the hat and balls ', ' THEM: deal . ']", item0=0 item1=1 item2=3 ,10 agree, 3 3 1 1 3 0
3 3 1 1 3 0 ,"['YOU: i would like the books and the hat . ', ' THEM: you can have the books , i need the hat and balls ', ' YOU: deal . ']", item0=3 item1=0 item2=0 ,9 agree, 3 0 1 7 3 1
1 2 3 2 2 1 ,"['YOU: i would like the book and 2 hats . ', ' THEM: i will give you the hats if i can have the rest ']", item0=0 item1=3 item2=0 ,6 agree, 1 8 3 0 2 1
1 8 3 0 2 1 ,"['THEM: i would like the book and 2 hats . ', ' YOU: i will give you the hats if i can have the rest ']", item0=1 item1=0 item2=2 ,10 agree, 1 2 3 2 2 1
1 5 3 1 1 2 ,"['THEM: you take the hats , i take the book and the ball ', "" YOU: i'll take the book and 2 hats . "", ' THEM: i need the book , you can have the rest ', ' YOU: ball has no value need the book . ', ' THEM: i cannot make a deal without the book ', ' YOU: i can live with no deal ', ' THEM: no deal ', ' YOU: no deal button still grey for me ', ' THEM: keep typing it will light up ', ' YOU: mind as well ask what your book value is . ', ' THEM: 9 ']", no agreement ,no agreement agree, 1 9 3 0 1 1
1 9 3 0 1 1 ,"['YOU: you take the hats , i take the book and the ball ', "" THEM: i'll take the book and 2 hats . "", ' YOU: i need the book , you can have the rest ', ' THEM: ball has no value need the book . ', ' YOU: i cannot make a deal without the book ', ' THEM: i can live with no deal ', ' YOU: no deal ', ' THEM: no deal button still grey for me ', ' YOU: keep typing it will light up ', ' THEM: mind as well ask what your book value is . ', ' YOU: 9 ']", no agreement ,no agreement agree, 1 5 3 1 1 2
2 3 2 0 1 4 ,"['THEM: give me ball and both hat ', ' YOU: i would prefer the ball with the books ', ' THEM: ok , ball and both books to me ', ' YOU: nope , the ball and a book for me and the hats and a book for you . ', ' THEM: ok ']", item0=1 item1=0 item2=1 ,7 agree, 2 1 2 2 1 4
2 1 2 2 1 4 ,"['YOU: give me ball and both hat ', ' THEM: i would prefer the ball with the books ', ' YOU: ok , ball and both books to me ', ' THEM: nope , the ball and a book for me and the hats and a book for you . ', ' YOU: ok ']", item0=1 item1=2 item2=0 ,5 agree, 2 3 2 0 1 4
2 1 2 4 2 0 ,"[""THEM: i'd love to have the balls and 1 book . "", ' YOU: so two hats and a book for me ? ', ' THEM: yes . ', ' YOU: i can live with that . ']", item0=1 item1=2 item2=0 ,9 agree, 2 1 2 0 2 4
2 1 2 0 2 4 ,"[""YOU: i'd love to have the balls and 1 book . "", ' THEM: so two hats and a book for me ? ', ' YOU: yes . ', ' THEM: i can live with that . ']", item0=1 item1=0 item2=2 ,9 agree, 2 1 2 4 2 0
2 0 2 4 1 2 ,"['YOU: how important are the books to you ? ', ' THEM: i need a ball and a book . . . . you can have everything else ', ' YOU: could you get by with just the ball ? ', ' THEM: guess we will find out ', "" YOU: okay you take the ball i'll take the rest ""]", item0=2 item1=2 item2=0 ,8 agree, 2 2 2 0 1 6
2 2 2 0 1 6 ,"['THEM: how important are the books to you ? ', ' YOU: i need a ball and a book . . . . you can have everything else ', ' THEM: could you get by with just the ball ? ', ' YOU: guess we will find out ', "" THEM: okay you take the ball i'll take the rest ""]", item0=0 item1=0 item2=1 ,6 agree, 2 0 2 4 1 2
1 5 3 1 2 1 ,"['YOU: how about i have the book , 1 hat , and 1 ball . you get everything else ? ', "" THEM: well you can have the balls because they're not worth anything for me but i would like the book and 1 hat . or conversely all the hats and you can have the book "", "" YOU: ok , you can have the hats . i'll take the book and balls ? "", ' THEM: sounds good to me ']", item0=1 item1=0 item2=2 ,7 agree, 1 4 3 2 2 0
1 4 3 2 2 0 ,"['THEM: how about i have the book , 1 hat , and 1 ball . you get everything else ? ', "" YOU: well you can have the balls because they're not worth anything for me but i would like the book and 1 hat . or conversely all the hats and you can have the book "", "" THEM: ok , you can have the hats . i'll take the book and balls ? "", ' YOU: sounds good to me ']", item0=0 item1=3 item2=0 ,6 agree, 1 5 3 1 2 1
3 3 1 0 1 1 ,"[""YOU: i need all three books and i'd like a ball . would you be willing to take the hat ? "", ' THEM: i keep the hat and either 2 books or the ball ', ' YOU: alright , you can have the hat , and the ball . i will take three books . ']", item0=3 item1=0 item2=0 ,9 agree, 3 1 1 5 1 2
3 1 1 5 1 2 ,"[""THEM: i need all three books and i'd like a ball . would you be willing to take the hat ? "", ' YOU: i keep the hat and either 2 books or the ball ', ' THEM: alright , you can have the hat , and the ball . i will take three books . ']", item0=0 item1=1 item2=1 ,7 agree, 3 3 1 0 1 1
3 0 1 4 3 2 ,"['THEM: can i please have 3 books and 1 hat ? ', ' YOU: i can give you the books but i need the hat and balls ', "" THEM: i'll take that deal and take all 3 books and you get the rest . ""]", item0=0 item1=1 item2=3 ,10 agree, 3 3 1 1 3 0
3 3 1 1 3 0 ,"['YOU: can i please have 3 books and 1 hat ? ', ' THEM: i can give you the books but i need the hat and balls ', "" YOU: i'll take that deal and take all 3 books and you get the rest . ""]", item0=3 item1=0 item2=0 ,9 agree, 3 0 1 4 3 2
2 0 3 1 1 7 ,"['THEM: i would like the ball and you can have the rest ', ' YOU: i would like the ball . ']", no agreement ,no agreement disagree, 2 1 3 0 1 8
2 1 3 0 1 8 ,"['YOU: i would like the ball and you can have the rest ', ' THEM: i would like the ball . ']", item0=0 item1=0 item2=1 ,8 disagree, 2 0 3 1 1 7
2 5 1 0 2 0 ,"[""THEM: i'd like 2 books and 1 hat . you can have the balls . "", ' YOU: that will not work . are the balls very important to you ? ', "" THEM: they're all important , but if you need the hat , i can take the balls in exchange . "", ' YOU: ok , may i take the books and give you everything else ? ', "" THEM: sorry , that doesn't work . i need the books , and at least 1 hat . or the books and the 2 balls . "", ' YOU: give me one book and take everything else . final offer . ', ' THEM: deal ! ']", item0=1 item1=0 item2=0 ,5 agree, 2 3 1 2 2 1
2 3 1 2 2 1 ,"[""YOU: i'd like 2 books and 1 hat . you can have the balls . "", ' THEM: that will not work . are the balls very important to you ? ', "" YOU: they're all important , but if you need the hat , i can take the balls in exchange . "", ' THEM: ok , may i take the books and give you everything else ? ', "" YOU: sorry , that doesn't work . i need the books , and at least 1 hat . or the books and the 2 balls . "", ' THEM: give me one book and take everything else . final offer . ', ' YOU: deal ! ']", item0=1 item1=1 item2=2 ,7 agree, 2 5 1 0 2 0
1 4 2 3 3 0 ,"['THEM: can i have 2 balls and the book . ', ' YOU: how about i take the book and hats . ', ' THEM: that does not seem fair to me if i got two balls and the book id have a decent value . ', ' YOU: you can have all 3 balls , but can i have a hat and book . ', ' THEM: okay so i get 3 balls and a hat and you get 1 hat and the book ? ', ' YOU: yes ', ' THEM: that works ill take 3 balls and 1 hat . ']", item0=1 item1=1 item2=0 ,7 agree, 1 2 2 1 3 2
1 2 2 1 3 2 ,"['YOU: can i have 2 balls and the book . ', ' THEM: how about i take the book and hats . ', ' YOU: that does not seem fair to me if i got two balls and the book id have a decent value . ', ' THEM: you can have all 3 balls , but can i have a hat and book . ', ' YOU: okay so i get 3 balls and a hat and you get 1 hat and the book ? ', ' THEM: yes ', ' YOU: that works ill take 3 balls and 1 hat . ']", item0=0 item1=1 item2=3 ,7 agree, 1 4 2 3 3 0
3 2 3 1 1 1 ,"['THEM: i would like the ball and 2 books ', ' YOU: i need the books as well . can i have two books and the hats ? ', ' THEM: you can have 1 book and the hats ', ' YOU: no deal . ', ' THEM: ok , you can have 2 books and the hats ', ' YOU: okay thank you ! ']", item0=2 item1=3 item2=0 ,7 agree, 3 2 3 0 1 4
3 2 3 0 1 4 ,"['YOU: i would like the ball and 2 books ', ' THEM: i need the books as well . can i have two books and the hats ? ', ' YOU: you can have 1 book and the hats ', ' THEM: no deal . ', ' YOU: ok , you can have 2 books and the hats ', ' THEM: okay thank you ! ']", item0=1 item1=0 item2=1 ,6 agree, 3 2 3 1 1 1
1 10 4 0 2 0,"[' YOU: i need the book and the balls ', ' THEM: if you take the book i take everything else ', ' YOU: great ']", item0=1 item1=0 item2=0 ,10 agree, 1 4 4 1 2 1
1 4 4 1 2 1 ,"['THEM: i need the book and the balls ', ' YOU: if you take the book i take everything else ', ' THEM: great ']", item0=0 item1=4 item2=2 ,6 agree ,1 10 4 0 2 0
1 5 3 1 2 1 ,"['THEM: i would like 2 balls and book ', ' YOU: i would like the book and the hats ', ' THEM: how about i have 2 balls and 1 hat ? ', ' YOU: ok and i will take the book and 2 hats ']", item0=1 item1=2 item2=0 ,7 agree, 1 2 3 0 2 4
1 2 3 0 2 4 ,"['YOU: i would like 2 balls and book ', ' THEM: i would like the book and the hats ', ' YOU: how about i have 2 balls and 1 hat ? ', ' THEM: ok and i will take the book and 2 hats ']", item0=0 item1=1 item2=2 ,8 agree, 1 5 3 1 2 1
1 7 3 0 3 1 ,"['YOU: i want the book and 1 ball ', ' THEM: sorry , i need the book and hats . youre welcome to have all the balls ', ' YOU: someone has to take the short end of the deal . . . ok . ']", item0=0 item1=0 item2=3 ,3 agree, 1 7 3 1 3 0
1 7 3 1 3 0 ,"['THEM: i want the book and 1 ball ', ' YOU: sorry , i need the book and hats . youre welcome to have all the balls ', ' THEM: someone has to take the short end of the deal . . . ok . ']", item0=1 item1=3 item2=0 ,10 agree, 1 7 3 0 3 1
1 0 1 1 3 3 ,"['THEM: i need the book and the hat ', ' YOU: i would like the hat and all the balls . ', ' THEM: you can have the balls , but i need the hat or no deal ', ' YOU: you can have the hat . ', ' THEM: deal ']", item0=0 item1=0 item2=3 ,9 disagree, 1 2 1 8 3 0
1 2 1 8 3 0 ,"['YOU: i need the book and the hat ', ' THEM: i would like the hat and all the balls . ', ' YOU: you can have the balls , but i need the hat or no deal ', ' THEM: you can have the hat . ', ' YOU: deal ']", item0=0 item1=1 item2=0 ,8 disagree, 1 0 1 1 3 3
2 1 1 6 2 1 ,"['YOU: all i want is the hat you can have the rest ', ' THEM: i also would like the hat , i do not need the books ']", item0=0 item1=1 item2=0 ,6 disagree, 2 0 1 4 2 3
1 0 3 3 1 1 ,"['THEM: i would like the book and 2 hats ', ' YOU: you can have the book , but i need the hats . ', ' THEM: i would at least need one of each then ', ' YOU: if i give up the a hat , i would need the ball . so i would need 2 hats and 1 ball . ', ' THEM: deal ']", item0=0 item1=2 item2=1 ,7 agree, 1 4 3 2 1 0
1 4 3 2 1 0 ,"['YOU: i would like the book and 2 hats ', ' THEM: you can have the book , but i need the hats . ', ' YOU: i would at least need one of each then ', ' THEM: if i give up the a hat , i would need the ball . so i would need 2 hats and 1 ball . ', ' YOU: deal ']", item0=1 item1=1 item2=0 ,6 agree, 1 0 3 3 1 1
3 0 2 1 1 8 ,"['YOU: can i have the ball , 1 hat and 1 book ? ', ' THEM: deal . ']", item0=1 item1=1 item2=1 ,9 agree, 3 2 2 2 1 0
3 2 2 2 1 0 ,"['THEM: can i have the ball , 1 hat and 1 book ? ', ' YOU: deal . ']", item0=2 item1=1 item2=0 ,6 agree, 3 0 2 1 1 8
3 0 1 2 2 4 ,"[""THEM: i'll take the books . you can have the rest . "", ' YOU: ok , so 2 balls and a hat for me ? ', ' THEM: yes . ', ' YOU: deal ']", item0=0 item1=1 item2=2 ,10 agree, 3 2 1 0 2 2
3 2 1 0 2 2 ,"[""YOU: i'll take the books . you can have the rest . "", ' THEM: ok , so 2 balls and a hat for me ? ', ' YOU: yes . ', ' THEM: deal ']", item0=3 item1=0 item2=0 ,6 agree, 3 0 1 2 2 4
4 1 1 3 1 3 ,"[""THEM: i'd like the hat , the rest to you "", "" YOU: i don't know . it is a fine hat . "", "" THEM: that's what i thought , but the books are very interesting reads "", "" YOU: i guess i don't need the hat . i will take the rest . "", ' THEM: deal ']", item0=4 item1=0 item2=1 ,7 agree, 4 0 1 8 1 2
4 0 1 8 1 2 ,"[""YOU: i'd like the hat , the rest to you "", "" THEM: i don't know . it is a fine hat . "", "" YOU: that's what i thought , but the books are very interesting reads "", "" THEM: i guess i don't need the hat . i will take the rest . "", ' YOU: deal ']", item0=0 item1=1 item2=0 ,8 agree, 4 1 1 3 1 3
2 1 2 1 2 3 ,"['THEM: if i can take the balls and the hats you can have the books . ', "" YOU: i can't give up my balls "", ' THEM: can we split them . i can take one and the hats and you can have one and the books ? ', "" YOU: sorry that won't work . i can give up the hats and books "", ' THEM: then i can not make a deal . i need the balls as well ', ' YOU: no deal ', ' THEM: okay no deal . ', ' YOU: sorry bro ', ' THEM: please click your button . ', ' YOU: i did ']", no agreement ,no agreement agree, 2 0 2 2 2 3
2 0 2 2 2 3 ,"['YOU: if i can take the balls and the hats you can have the books . ', "" THEM: i can't give up my balls "", ' YOU: can we split them . i can take one and the hats and you can have one and the books ? ', "" THEM: sorry that won't work . i can give up the hats and books "", ' YOU: then i can not make a deal . i need the balls as well ', ' THEM: no deal ', ' YOU: okay no deal . ', ' THEM: sorry bro ', ' YOU: please click your button . ', ' THEM: i did ']", no agreement ,no agreement agree, 2 1 2 1 2 3
2 2 2 2 1 2 ,"['THEM: what would you like ', ' YOU: everything ', ' THEM: you take all book and i keep the rest ', ' YOU: no . i want the books and hats ', ' THEM: no can do ', "" YOU: give three items and i'll call it even "", ' THEM: 2 books and one hat ']", item0=2 item1=1 item2=0 ,6 agree, 2 0 2 3 1 4
2 0 2 3 1 4 ,"['YOU: what would you like ', ' THEM: everything ', ' YOU: you take all book and i keep the rest ', ' THEM: no . i want the books and hats ', ' YOU: no can do ', "" THEM: give three items and i'll call it even "", ' YOU: 2 books and one hat ']", item0=0 item1=1 item2=1 ,7 agree, 2 2 2 2 1 2
1 7 3 1 1 0 ,"['YOU: i will take the book and 1 hat please ', ' THEM: deal i take rest ', ' YOU: okay deal ']", item0=1 item1=1 item2=0 ,8 agree, 1 1 3 1 1 6
1 1 3 1 1 6 ,"['THEM: i will take the book and 1 hat please ', ' YOU: deal i take rest ', ' THEM: okay deal ']", item0=0 item1=2 item2=1 ,8 agree, 1 7 3 1 1 0
1 1 2 0 3 3 ,"[""YOU: i'd like balls . you can have the rest . "", ' THEM: do you need all 3 ? ', ' YOU: or i can do two balls and 1 book . ', "" THEM: you can have the balls , i'll take book and 2 hats ""]", item0=0 item1=0 item2=3 ,9 agree, 1 3 2 2 3 1
1 3 2 2 3 1 ,"[""THEM: i'd like balls . you can have the rest . "", ' YOU: do you need all 3 ? ', ' THEM: or i can do two balls and 1 book . ', "" YOU: you can have the balls , i'll take book and 2 hats ""]", item0=1 item1=2 item2=0 ,7 agree, 1 1 2 0 3 3
1 1 4 1 1 5 ,"[""THEM: i'd like to have the book , you can keep everything else . "", ' YOU: awesome deal ']", item0=0 item1=4 item2=1 ,9 agree ,1 10 4 0 1 0
1 10 4 0 1 0,"["" YOU: i'd like to have the book , you can keep everything else . "", ' THEM: awesome deal ']", item0=1 item1=0 item2=0 ,10 agree, 1 1 4 1 1 5
1 3 1 3 4 1 ,"['THEM: i would love the hat ; you can have the rest ', ' YOU: deal ! ']", item0=1 item1=0 item2=4 ,7 agree, 1 1 1 9 4 0
1 1 1 9 4 0 ,"['YOU: i would love the hat ; you can have the rest ', ' THEM: deal ! ']", item0=0 item1=1 item2=0 ,9 agree, 1 3 1 3 4 1
1 7 3 1 1 0 ,"['THEM: what would you like ', ' YOU: the book and a hat ', ' THEM: howa about you get three hats ', ' YOU: no , i want the book ', ' THEM: and i get the rest then ', ' YOU: ok ', ' THEM: ok ']", item0=1 item1=0 item2=0 ,7 agree, 1 3 3 1 1 4
1 3 3 1 1 4 ,"['YOU: what would you like ', ' THEM: the book and a hat ', ' YOU: howa about you get three hats ', ' THEM: no , i want the book ', ' YOU: and i get the rest then ', ' THEM: ok ', ' YOU: ok ']", item0=0 item1=3 item2=1 ,7 agree, 1 7 3 1 1 0
2 0 3 3 1 1 ,"[""THEM: i'll take books and balls if you want the hats "", ' YOU: any chance i can get the ball as well ', ' THEM: i can give you the ball but then i need all the books and hats ', ' YOU: nope cant do that ', ' THEM: i can do the ball and three hats if you can do the books ', ' YOU: i dont want the books i want the hats and ball ', ' THEM: i need the ball if not , i drop below 5 / 10 ', ' YOU: fine you can have the ball ill take the hats ']", item0=0 item1=3 item2=0 ,9 agree, 2 2 3 1 1 3
2 2 3 1 1 3 ,"[""YOU: i'll take books and balls if you want the hats "", ' THEM: any chance i can get the ball as well ', ' YOU: i can give you the ball but then i need all the books and hats ', ' THEM: nope cant do that ', ' YOU: i can do the ball and three hats if you can do the books ', ' THEM: i dont want the books i want the hats and ball ', ' YOU: i need the ball if not , i drop below 5 / 10 ', ' THEM: fine you can have the ball ill take the hats ']", item0=2 item1=0 item2=1 ,7 agree, 2 0 3 3 1 1
3 0 1 7 3 1 ,"['YOU: hi i would like the hat and balls and you can have the books ', ' THEM: i would like to have the hat and 1 book you can have the rest ', ' YOU: sorry i cant make a deal without the hat ', ' THEM: the books and balls have no value to me so i need the hat ', ' YOU: yeah looks like we wont be making a deal ', ' THEM: ok ', ' YOU: no deal ', ' THEM: no deal ', ' YOU: no deal ']", item0=0 item1=1 item2=3 ,10 disagree, 3 1 1 7 3 0
2 0 1 4 2 3 ,"[""YOU: i'd like a hat and a ball "", ' THEM: okay ']", item0=0 item1=1 item2=1 ,7 agree, 2 3 1 0 2 2
2 3 1 0 2 2 ,"[""THEM: i'd like a hat and a ball "", ' YOU: okay ']", item0=2 item1=0 item2=1 ,8 agree, 2 0 1 4 2 3
3 0 2 2 1 6 ,"['YOU: hello , how about you get the books and i can the ball and hats ? ', "" THEM: i don't want to agree to quickly because the system keeps warning me "", "" YOU: hah , yeah i hear ya . the system is pretty ridiculous . even if it's obviously a good deal right away they want us to waste more of our time . "", ' THEM: are the hats worth much to you , can i have 3 books 1 hat ? ', "" YOU: ok , the ball is most important anyway . i'll take 1 ball and 1 hat . "", ' THEM: ok ']", item0=0 item1=1 item2=1 ,8 agree, 3 2 2 2 1 0
3 2 2 2 1 0 ,"['THEM: hello , how about you get the books and i can the ball and hats ? ', "" YOU: i don't want to agree to quickly because the system keeps warning me "", "" THEM: hah , yeah i hear ya . the system is pretty ridiculous . even if it's obviously a good deal right away they want us to waste more of our time . "", ' YOU: are the hats worth much to you , can i have 3 books 1 hat ? ', "" THEM: ok , the ball is most important anyway . i'll take 1 ball and 1 hat . "", ' YOU: ok ']", item0=3 item1=1 item2=0 ,8 agree, 3 0 2 2 1 6
1 4 3 0 2 3 ,"['YOU: you can have the hats if i can have the balls and book ', "" THEM: i can't do that , how about 3 hats and 1 ball ? "", ' YOU: the hats are of no value to me . i would need the book and one ball ', ' THEM: i meant for me , so basically , what you said : ) ', ' YOU: perfect . thanks ']", item0=1 item1=0 item2=1 ,7 agree, 1 3 3 1 2 2
1 3 3 1 2 2 ,"['THEM: you can have the hats if i can have the balls and book ', "" YOU: i can't do that , how about 3 hats and 1 ball ? "", ' THEM: the hats are of no value to me . i would need the book and one ball ', ' YOU: i meant for me , so basically , what you said : ) ', ' THEM: perfect . thanks ']", item0=0 item1=3 item2=1 ,5 agree, 1 4 3 0 2 3
3 3 1 0 1 1 ,"['YOU: i can offer the ball ', ' THEM: i ; d take the ball and the books ', ' YOU: i can offer the ball and the hat ']", item0=3 item1=0 item2=0 ,9 agree, 3 1 1 5 1 2
3 1 1 5 1 2 ,"['THEM: i can offer the ball ', ' YOU: i ; d take the ball and the books ', ' THEM: i can offer the ball and the hat ']", item0=0 item1=1 item2=1 ,7 agree, 3 3 1 0 1 1
1 2 1 8 3 0 ,"['YOU: i can offer the balls ', ' THEM: i would prefer the hat and something else . ', "" YOU: i can't give the hat , what else would work for you ? "", ' THEM: if i cannot have the hat i will need everything else , or i cannot make a deal . ']", item0=0 item1=1 item2=0 ,8 disagree, 1 2 1 5 3 1
1 1 3 3 1 0 ,"['YOU: i want three hats and the book . ', ' THEM: can i have the book ? ', ' YOU: ok , i can live without it . ', ' THEM: ok , so book and ball ? ']", item0=0 item1=3 item2=0 ,9 agree, 1 1 3 0 1 9
1 1 3 0 1 9 ,"['THEM: i want three hats and the book . ', ' YOU: can i have the book ? ', ' THEM: ok , i can live without it . ', ' YOU: ok , so book and ball ? ']", item0=1 item1=0 item2=1 ,10 agree, 1 1 3 3 1 0
3 0 1 5 1 5 ,"['YOU: if i can have the ball and the hat you can have the books ', ' THEM: nope , i need the hat and at least 2 books ', ' YOU: i can not make a deal without the ball and the hat ', ' THEM: you take the ball and 1 book ', ' YOU: no i need both the hat and the ball ', ' THEM: i need the hat and 2 books ', "" YOU: okay then we can not reach a deal . no deal . i'm sorry . "", ' THEM: yep , no deal ', ' YOU: no deal . ', ' THEM: yep ']", no agreement ,no agreement agree, 3 2 1 4 1 0
3 2 1 4 1 0 ,"['THEM: if i can have the ball and the hat you can have the books ', ' YOU: nope , i need the hat and at least 2 books ', ' THEM: i can not make a deal without the ball and the hat ', ' YOU: you take the ball and 1 book ', ' THEM: no i need both the hat and the ball ', ' YOU: i need the hat and 2 books ', "" THEM: okay then we can not reach a deal . no deal . i'm sorry . "", ' YOU: yep , no deal ', ' THEM: no deal . ', ' YOU: yep ']", no agreement ,no agreement agree, 3 0 1 5 1 5
4 0 1 4 1 6 ,"['YOU: i will give you 4 books for 1 hat and 1 ball ', ' THEM: sounds good ! ']", item0=0 item1=1 item2=1 ,10 agree, 4 2 1 2 1 0
4 2 1 2 1 0 ,"['THEM: i will give you 4 books for 1 hat and 1 ball ', ' YOU: sounds good ! ']", item0=4 item1=0 item2=0 ,8 agree, 4 0 1 4 1 6
2 0 1 2 2 4 ,"['THEM: i need the hat and the books . ', ' YOU: ok , deal ']", item0=0 item1=0 item2=2 ,8 agree, 2 2 1 4 2 1
2 2 1 4 2 1 ,"['YOU: i need the hat and the books . ', ' THEM: ok , deal ']", item0=2 item1=1 item2=0 ,8 agree, 2 0 1 2 2 4
1 3 3 2 1 1 ,"['THEM: i can offer 2 hats and the book ', ' YOU: ok , deal ']", item0=1 item1=2 item2=0 ,7 agree ,1 0 3 0 1 10
1 0 3 0 1 10,"[' YOU: i can offer 2 hats and the book ', ' THEM: ok , deal ']", item0=0 item1=1 item2=1 ,10 agree, 1 3 3 2 1 1
3 0 1 6 2 2 ,"['YOU: you take the books and ill take the rest ', ' THEM: no deal ', ' YOU: ill take the hat and 1 ball ', ' THEM: okay fine deal ', ' YOU: deal ']", item0=0 item1=1 item2=1 ,8 agree, 3 2 1 0 2 2
3 2 1 0 2 2 ,"['THEM: you take the books and ill take the rest ', ' YOU: no deal ', ' THEM: ill take the hat and 1 ball ', ' YOU: okay fine deal ', ' THEM: deal ']", item0=3 item1=0 item2=1 ,8 agree, 3 0 1 6 2 2
4 1 1 0 2 3 ,"['YOU: you take the hat and 2 books , i take the balls and 2 books ', ' THEM: can i have one more of your objects ? ', "" YOU: i can't "", ' THEM: ok , i agree to your first offer . ']", item0=2 item1=0 item2=2 ,8 agree, 4 1 1 4 2 1
4 1 1 4 2 1 ,"['THEM: you take the hat and 2 books , i take the balls and 2 books ', ' YOU: can i have one more of your objects ? ', "" THEM: i can't "", ' YOU: ok , i agree to your first offer . ']", item0=2 item1=1 item2=0 ,6 agree, 4 1 1 0 2 3
2 3 1 4 3 0 ,"['THEM: good afternoon ! can i take the hat and 2 basketballs , and you take the books and 1 basketball ? ', "" YOU: i don't want any basketballs . i'd like the hat and books . "", "" THEM: i'm sorry , but i need the hat . you don't want any basketballs at all ? "", "" YOU: no , they're not worth anything on my end . are the books of any value to you ? "", "" THEM: no they aren't . the basketballs aren't worth much to me , either . "", "" YOU: fine i'll take your deal . "", "" THEM: okay , so i'll take the hat and 2 basketballs , and you can take 1 basketball and 2 books . thanks , friend ! ""]", item0=2 item1=0 item2=1 ,6 agree, 2 0 1 7 3 1
2 0 1 7 3 1 ,"['YOU: good afternoon ! can i take the hat and 2 basketballs , and you take the books and 1 basketball ? ', "" THEM: i don't want any basketballs . i'd like the hat and books . "", "" YOU: i'm sorry , but i need the hat . you don't want any basketballs at all ? "", "" THEM: no , they're not worth anything on my end . are the books of any value to you ? "", "" YOU: no they aren't . the basketballs aren't worth much to me , either . "", "" THEM: fine i'll take your deal . "", "" YOU: okay , so i'll take the hat and 2 basketballs , and you can take 1 basketball and 2 books . thanks , friend ! ""]", item0=0 item1=1 item2=2 ,9 agree, 2 3 1 4 3 0
3 1 2 0 1 7 ,"[""YOU: i'd like the ball , i wouldn't mind the books as well - are the hats of value to you ? "", ' THEM: i only want hats . you can have everything else . ', ' YOU: deal ']", item0=3 item1=0 item2=1 ,10 agree, 3 0 2 4 1 2
3 0 2 4 1 2 ,"[""THEM: i'd like the ball , i wouldn't mind the books as well - are the hats of value to you ? "", ' YOU: i only want hats . you can have everything else . ', ' THEM: deal ']", item0=0 item1=2 item2=0 ,8 agree, 3 1 2 0 1 7
3 1 2 3 1 1 ,"['THEM: i need hats soooo bad ! what do you need ? ', ' YOU: same . i can do 1 hat and all the books or 1 hat , 2 books and 1 ball or just the 2 hats . ', "" THEM: the way it breaks down on my end , i need both hats or i can't make a deal . i don't need anything else . "", "" YOU: i guess we're at an impase then . i don't deal for less than 6 and those are the only combinations that get me that . "", ' THEM: one hat gets me 5 . ', "" YOU: i completely understand . i have to have at least 1 hat though . we'll have to no deal . "", ' THEM: okay , agree to no deal ! ', ' YOU: : - ) ', ' THEM: i think we have to keep going for a bit til that option comes up , right ? ', ' YOU: yep . ']", no agreement ,no agreement agree, 3 0 2 5 1 0
