,input,actual,predicted
1053,_greeting,hi,"(1053, 'hello')"
1054,_deal,great,"(1054, 'deal')"
1055,_need _hats 1  _offer _balls all,all the balls if i get the hat too .,"(1055, 'ball and hat for me , you can have all the balls .')"
1056,_nodeal,no deal,"(1056, 'no deal')"
1057,_deal,yes,"(1057, 'deal')"
1058,_deal,sounds good,"(1058, 'deal')"
1059,_deal,deal .,"(1059, 'deal')"
1060,_deal,agreed,"(1060, 'deal')"
1061,_need _books 1 _hats 2 ,2 hats and a book for me,"(1061, 'book and 2 hats for me .')"
1062,_deal,deal,"(1062, 'deal')"
1063,_deal,ok deal,"(1063, 'deal')"
1064,_deal,deal .,"(1064, 'deal')"
1065,_deal,ok,"(1065, 'deal')"
1066,_deal,cool,"(1066, 'deal')"
1067,_need _books 1 ,book is worth 7 to me,"(1067, 'book and 1 book for me ?')"
1068,_deal,deal,"(1068, 'deal')"
1069,_nodeal,i can't do that,"(1069, 'no deal')"
1070,_deal,great,"(1070, 'deal')"
1071,_nodeal,no deal,"(1071, 'no deal')"
1072,_deal,ok,"(1072, 'deal')"
1073,_deal,yes,"(1073, 'deal')"
1074,_deal,deal,"(1074, 'deal')"
1075,_deal,yes,"(1075, 'deal')"
1076,_deal,fine,"(1076, 'deal')"
1077,_deal,deal,"(1077, 'deal')"
1078,_deal,yes,"(1078, 'deal')"
1079,_misc _books 1 _hats 1 ,1 book and 1 hat,"(1079, '1 book and 1 hat ?')"
1080,_deal,i agree .,"(1080, 'deal')"
1081,_deal,deal,"(1081, 'deal')"
1082,_deal _need rest _offer _books 1 ,"alright , even though its a loss for me , you take the book , and i'll take the rest .","(1082, 'deal , i will take the rest , you can take the book .')"
1083,_deal,ok,"(1083, 'deal')"
1084,_nodeal,then no deal,"(1084, 'no deal')"
1085,_misc _books 1 _hats 1 ,1 book and 1 hat . final offer,"(1085, '1 book and 1 hat ?')"
1086,_nodeal,no deal then,"(1086, 'no deal')"
1087,_deal,annoyingly reasonable . . . 8 ^) . . . ill agree,"(1087, 'deal')"
1088,_deal,deal,"(1088, 'deal')"
1089,_deal,fine,"(1089, 'deal')"
1090,_nodeal,no deal,"(1090, 'no deal')"
1091,_nodeal,no deal,"(1091, 'no deal')"
1092,_deal,okay deal,"(1092, 'deal')"
1093,_deal,ok deal,"(1093, 'deal')"
1094,_deal,deal,"(1094, 'deal')"
1095,_deal,deal,"(1095, 'deal')"
1096,_deal,okay deal,"(1096, 'deal')"
1097,_deal,deal .,"(1097, 'deal')"
1098,_deal,okay .,"(1098, 'deal')"
1099,_deal,ok,"(1099, 'deal')"
1100,_nodeal,never,"(1100, 'no deal')"
1101,_deal,ok deal,"(1101, 'deal')"
1102,_deal,yup,"(1102, 'deal')"
1103,_deal,deal,"(1103, 'deal')"
1104,_deal,ok deal .,"(1104, 'deal')"
1105,_deal,i agree .,"(1105, 'deal')"
1106,_deal,deal,"(1106, 'deal')"
1107,_deal _thanks,thanks,"(1107, 'deal . thank you')"
1108,_deal,deal,"(1108, 'deal')"
1109,_deal,deal .,"(1109, 'deal')"
1110,_nodeal,no deal,"(1110, 'no deal')"
1111,_deal,okay great ! thank you !,"(1111, 'deal')"
1112,_nodeal,no,"(1112, 'no deal')"
1113,_nodeal,no deal then .,"(1113, 'no deal')"
1114,_deal,deal,"(1114, 'deal')"
1115,_deal,deal,"(1115, 'deal')"
1116,_nodeal,no deal .,"(1116, 'no deal')"
1117,_nodeal,no deal .,"(1117, 'no deal')"
1118,_deal,yep,"(1118, 'deal')"
1119,_deal _thanks,deal . thank you,"(1119, 'deal . thank you')"
1120,_deal,ok deal,"(1120, 'deal')"
1121,_deal _thanks,thanks,"(1121, 'deal . thank you')"
1122,_deal,okay .,"(1122, 'deal')"
1123,_deal,deal,"(1123, 'deal')"
1124,_deal,ok thanks,"(1124, 'deal')"
1125,_deal,yes,"(1125, 'deal')"
1126,_deal,ok,"(1126, 'deal')"
1127,_deal,deal .,"(1127, 'deal')"
1128,_nodeal,alright no deal .,"(1128, 'no deal')"
1129,_deal,ok,"(1129, 'deal')"
1130,_deal,i agree .,"(1130, 'deal')"
1131,_deal,"ok , deal","(1131, 'deal')"
1132,_need _balls 3,are you sure you can't take all three balls ?,"(1132, '3 balls for me ?')"
1133,_deal,ok deal .,"(1133, 'deal')"
1134,_greeting,hi,"(1134, 'hello')"
1135,_deal,deal .,"(1135, 'deal')"
1136,_deal,deal,"(1136, 'deal')"
1137,_deal,deal,"(1137, 'deal')"
1138,_misc _books 1 _balls 1,1 book 1 ball,"(1138, '1 book and 1 ball ?')"
1139,_deal,great,"(1139, 'deal')"
1140,_deal,ok deal,"(1140, 'deal')"
1141,_deal,ok deal,"(1141, 'deal')"
1142,_deal,ok,"(1142, 'deal')"
1143,_deal,ok,"(1143, 'deal')"
1144,_nodeal,no can do,"(1144, 'no deal')"
1145,_deal,fine,"(1145, 'deal')"
1146,_deal _thanks,thanks,"(1146, 'deal . thank you')"
1147,_deal,ok,"(1147, 'deal')"
1148,_deal,deal,"(1148, 'deal')"
1149,_deal,ok,"(1149, 'deal')"
1150,_deal,ok,"(1150, 'deal')"
1151,_nodeal,no deal .,"(1151, 'no deal')"
1152,_deal,deal,"(1152, 'deal')"
1153,_deal,ok deal .,"(1153, 'deal')"
1154,_deal,i agree .,"(1154, 'deal')"
1155,_nodeal,no deal,"(1155, 'no deal')"
1156,_deal,agreed,"(1156, 'deal')"
1157,_deal,okay thank you !,"(1157, 'deal')"
1158,_deal,yes,"(1158, 'deal')"
1159,_counteroffer _offer _books 1 _hats 2 ,4 : 1 is not fair . you can have both hats and one book .,"(1159, '1 book and 2 hats for you ?')"
1160,_deal,alright .,"(1160, 'deal')"
1161,_deal,deal,"(1161, 'deal')"
1162,_deal,deal,"(1162, 'deal')"
1163,_offer _books 1 _hats 1 ,1 book and 1 hat for you,"(1163, '1 book and 1 hat for you ?')"
1164,_deal,great,"(1164, 'deal')"
1165,_deal,"ok , deal .","(1165, 'deal')"
1166,_deal,ok deal,"(1166, 'deal')"
1167,_deal _thanks,thanks,"(1167, 'deal . thank you')"
1168,_deal,great,"(1168, 'deal')"
1169,_deal,deal,"(1169, 'deal')"
1170,_deal,fine,"(1170, 'deal')"
1171,_nodeal,no deal .,"(1171, 'no deal')"
1172,_deal,deal,"(1172, 'deal')"
1173,_misc _balls 2,2 balls and we have a deal,"(1173, '2 balls')"
1174,_deal,deal,"(1174, 'deal')"
1175,_deal,deal .,"(1175, 'deal')"
1176,_nodeal,okay no deal .,"(1176, 'no deal')"
1177,_deal,sure,"(1177, 'deal')"
1178,_deal,yup,"(1178, 'deal')"
1179,_deal,deal,"(1179, 'deal')"
1180,_deal,deal,"(1180, 'deal')"
1181,_nodeal,no deal,"(1181, 'no deal')"
1182,_need _hats 3  _offer _books 1 _balls 2,3 hats for 1 book and 3 balls,"(1182, '3 hats for me , you can have the book and 2 balls for you')"
1183,_deal,ok deal,"(1183, 'deal')"
1184,_deal,deal,"(1184, 'deal')"
1185,_deal,yes,"(1185, 'deal')"
1186,_deal,deal,"(1186, 'deal')"
1187,_nodeal,no deal,"(1187, 'no deal')"
1188,_deal,sounds good,"(1188, 'deal')"
1189,_offer _books 1 _hats 3 ,alright youcan have three hats and one book ?,"(1189, '3 hats and 1 book for you ?')"
1190,_nodeal,no deal,"(1190, 'no deal')"
1191,_deal,ok,"(1191, 'deal')"
1192,_need _books 1 ,"book is straight up the only thing that has value for me , i would like it and nothing else .","(1192, 'book and 1 book for me ?')"
1193,_need _hats all _balls 1,and i need the hats and ball,"(1193, 'all hats and a ball for me ?')"
1194,_nodeal,no deal,"(1194, 'no deal')"
1195,_deal,deal .,"(1195, 'deal')"
1196,_deal,deal,"(1196, 'deal')"
1197,_deal,ok,"(1197, 'deal')"
1198,_deal,i can do that,"(1198, 'deal')"
1199,_nodeal,no deal,"(1199, 'no deal')"
1200,_deal,ok,"(1200, 'deal')"
1201,_deal,deal !,"(1201, 'deal')"
1202,_deal,okay .,"(1202, 'deal')"
1203,_offer _books 1 _balls 1,book and one ball for you,"(1203, 'book and one ball for you ?')"
1204,_deal,alright sounds good .,"(1204, 'deal')"
1205,_deal,okay .,"(1205, 'deal')"
1206,_nodeal,okay no deal .,"(1206, 'no deal')"
1207,_need _books 1 _hats 3 ,book and 3 hats for me,"(1207, '3 hats and 1 book for me .')"
1208,_deal,ok deal,"(1208, 'deal')"
1209,_need _hats 1 ,"1 hat or the rest are the same amount of points for me , and its low","(1209, 'i need the hat and a hat')"
1210,_deal,ok,"(1210, 'deal')"
1211,_deal,ok,"(1211, 'deal')"
1212,_deal,ok,"(1212, 'deal')"
1213,_need _books 1  _offer _hats 1 ,book yes but only one hat for you,"(1213, 'book and one hat for me , you can have the book .')"
1214,_deal,ok,"(1214, 'deal')"
1215,_deal,great,"(1215, 'deal')"
1216,_deal,deal,"(1216, 'deal')"
1217,_deal,ok deal,"(1217, 'deal')"
1218,_deal,deal,"(1218, 'deal')"
1219,_deal,"ok , deal .","(1219, 'deal')"
1220,_deal,ok,"(1220, 'deal')"
1221,_deal,ok,"(1221, 'deal')"
1222,_deal,okay,"(1222, 'deal')"
1223,_nodeal,no deal,"(1223, 'no deal')"
1224,_nodeal,no deal,"(1224, 'no deal')"
1225,_counteroffer _misc _books 1 _balls all,"alright , the balls and one book ?","(1225, 'all the balls and books ?')"
1226,_nodeal,nope,"(1226, 'no deal')"
1227,_need _hats 1  _offer _balls all,any way you'd give up the book for balls ?,"(1227, 'ball and hat for me , you can have all the balls .')"
1228,_nodeal,no deal,"(1228, 'no deal')"
1229,_nodeal,no deal,"(1229, 'no deal')"
1230,_deal,deal,"(1230, 'deal')"
1231,_deal,deal,"(1231, 'deal')"
1232,_deal,deal,"(1232, 'deal')"
1233,_deal,deal,"(1233, 'deal')"
1234,_deal,deal,"(1234, 'deal')"
1235,_deal,deal,"(1235, 'deal')"
1236,_misc _hats 2 _balls 2,2 balls and 2 hats ?,"(1236, '2 hats and 2 balls ?')"
1237,_deal,ok deal,"(1237, 'deal')"
1238,_nodeal,no deal .,"(1238, 'no deal')"
1239,_nodeal,no deal,"(1239, 'no deal')"
1240,_nodeal,no deal .,"(1240, 'no deal')"
1241,_deal,great,"(1241, 'deal')"
1242,_deal,yes,"(1242, 'deal')"
1243,_deal,okay deal,"(1243, 'deal')"
1244,_deal,yes,"(1244, 'deal')"
1245,_nodeal,no,"(1245, 'no deal')"
1246,_deal,deal !,"(1246, 'deal')"
1247,_deal,deal .,"(1247, 'deal')"
1248,_deal,deal,"(1248, 'deal')"
1249,_need _balls 0,balls are zero for me =\,"(1249, 'balls are 0 for me .')"
1250,_deal,ok,"(1250, 'deal')"
1251,_offer _books 1 _balls 1,and i would only have 3 if you get the ball and book .,"(1251, 'book and one ball for you ?')"
1252,_misc _books 1 _hats all ,book and hats is only 4,"(1252, 'all the books and hats ?')"
1253,_deal,yes,"(1253, 'deal')"
1254,_nodeal,no way,"(1254, 'no deal')"
1255,_deal,deal,"(1255, 'deal')"
1256,_deal,ok deal,"(1256, 'deal')"
1257,_deal,okay,"(1257, 'deal')"
1258,_deal,deal,"(1258, 'deal')"
1259,_greeting,hi,"(1259, 'hello')"
1260,_nodeal,no deal,"(1260, 'no deal')"
1261,_misc _books 1 _hats 3 ,at least one book . 3 hats and one book,"(1261, '3 hats and one book ?')"
1262,_need _balls 0,balls hace zero value on my end,"(1262, 'balls are 0 for me .')"
1263,_nodeal,no deal .,"(1263, 'no deal')"
1264,_deal,ok,"(1264, 'deal')"
1265,_deal,deal,"(1265, 'deal')"
1266,_nodeal,no deal,"(1266, 'no deal')"
1267,_deal,deal .,"(1267, 'deal')"
1268,_need rest _offer _hats 1 _balls 1,1 hat 1 ball and i keep the rest,"(1268, 'ball and one hat for you . i need the rest .')"
1269,_nodeal,haha no,"(1269, 'no deal')"
1270,_nodeal,no deal,"(1270, 'no deal')"
1271,_need _hats 1  _offer _books all ,books all yours but not the hat,"(1271, 'book and hat for me , you can have all the books .')"
1272,_deal,deal,"(1272, 'deal')"
1273,_deal,deal,"(1273, 'deal')"
1274,_deal,agreed .,"(1274, 'deal')"
1275,_misc _books all _hats all ,books and hats,"(1275, 'all books and hats')"
1276,_nodeal,no deal,"(1276, 'no deal')"
1277,_deal,ok,"(1277, 'deal')"
1278,_need _books 1 _hats 2  _offer rest,"2 hats and a book for me , you get rest ?","(1278, 'book and 2 hats for me , you can have the rest .')"
1279,_deal,ok,"(1279, 'deal')"
1280,_deal,ok deal,"(1280, 'deal')"
1281,_deal,deal,"(1281, 'deal')"
1282,_deal _thanks,thanks,"(1282, 'deal . thank you')"
1283,_deal _thanks,thank you,"(1283, 'deal . thank you')"
1284,_deal,deal .,"(1284, 'deal')"
1285,_need _balls 1,ball is 7 .,"(1285, '1 ball for me ?')"
1286,_deal,deal .,"(1286, 'deal')"
1287,_deal,deal,"(1287, 'deal')"
1288,_deal,ok deal .,"(1288, 'deal')"
1289,_deal,deal,"(1289, 'deal')"
1290,_deal,ok,"(1290, 'deal')"
1291,_nodeal,no deal,"(1291, 'no deal')"
1292,_deal,ok deal,"(1292, 'deal')"
1293,_need _hats 1  _offer rest,"as it is to me , you can have everything else if i can have the hat","(1293, 'i need the hat and the rest to you ?')"
1294,_deal,okay,"(1294, 'deal')"
1295,_misc _hats 1 _balls 1,ball and one hat,"(1295, '1 ball and 1 hat .')"
1296,_deal,ok,"(1296, 'deal')"
1297,_deal,okay,"(1297, 'deal')"
1298,_deal,sounds good,"(1298, 'deal')"
1299,_nodeal,no deal .,"(1299, 'no deal')"
1300,_deal,deal,"(1300, 'deal')"
1301,_deal,ok deal,"(1301, 'deal')"
1302,_deal,thank you .,"(1302, 'deal')"
1303,_deal,deal,"(1303, 'deal')"
1304,_deal,great,"(1304, 'deal')"
1305,_need _books all _balls 1,ball and books for me,"(1305, 'all books and one ball for me ?')"
1306,_deal,ok deal,"(1306, 'deal')"
1307,_nodeal,no deal,"(1307, 'no deal')"
1308,_nodeal,no deal .,"(1308, 'no deal')"
1309,_nodeal,no can do,"(1309, 'no deal')"
1310,_deal,ok,"(1310, 'deal')"
1311,_greeting,hi,"(1311, 'hello')"
1312,_nodeal,okay no deal .,"(1312, 'no deal')"
1313,_deal,ok,"(1313, 'deal')"
1314,_deal,sure,"(1314, 'deal')"
1315,_deal,ok,"(1315, 'deal')"
1316,_deal,ok,"(1316, 'deal')"
1317,_deal,deal,"(1317, 'deal')"
1318,_deal,deal,"(1318, 'deal')"
1319,_need _hats 1  _offer rest,"best i can do is i keep the hat , you get everything else .","(1319, 'i need the hat and the rest to you ?')"
1320,_offer _books 2 _balls 1,ball and two books for you,"(1320, '2 books and 1 ball for you ?')"
1321,_deal,deal,"(1321, 'deal')"
1322,_deal,okay thank you !,"(1322, 'deal')"
1323,_deal,ok,"(1323, 'deal')"
1324,_nodeal,no deal then,"(1324, 'no deal')"
1325,_deal,deal,"(1325, 'deal')"
1326,_need _balls 0,balls have 0 value on my end,"(1326, 'balls are 0 for me .')"
1327,_nodeal,no deal .,"(1327, 'no deal')"
1328,_misc _books 1 _hats 2 ,2 hats and the book .,"(1328, '2 hats and one book ?')"
1329,_deal,deal,"(1329, 'deal')"
1330,_nodeal,no deal,"(1330, 'no deal')"
1331,_misc _books 1 _balls 2,2 balls 1 book is my best offer,"(1331, '2 balls and 1 book ?')"
1332,_deal,ok,"(1332, 'deal')"
1333,_nodeal,no deal,"(1333, 'no deal')"
1334,_deal,yep,"(1334, 'deal')"
1335,_deal,ok deal,"(1335, 'deal')"
1336,_deal,ok deal,"(1336, 'deal')"
1337,_nodeal,no deal,"(1337, 'no deal')"
1338,_deal,deal .,"(1338, 'deal')"
1339,_deal,deal,"(1339, 'deal')"
1340,_deal,ok,"(1340, 'deal')"
1341,_deal,ok,"(1341, 'deal')"
1342,_deal,ok,"(1342, 'deal')"
1343,_need rest _offer _balls 3,"3 balls to you , the rest to me","(1343, '3 balls for me , you can take the rest .')"
1344,_deal,okay thank you !,"(1344, 'deal')"
1345,_deal,ok,"(1345, 'deal')"
1346,_nodeal,no deal then,"(1346, 'no deal')"
1347,_deal,deal,"(1347, 'deal')"
1348,_deal,deal,"(1348, 'deal')"
1349,_deal,sure,"(1349, 'deal')"
1350,_deal,deal,"(1350, 'deal')"
1351,_deal,deal,"(1351, 'deal')"
1352,_deal,ok,"(1352, 'deal')"
1353,_deal,okay,"(1353, 'deal')"
1354,_misc _hats 2 _balls 3,2 hats 3 balls,"(1354, '2 hats and 3 balls ?')"
1355,_deal,okay deal,"(1355, 'deal')"
1356,_need _balls 0,balls have zero value for me,"(1356, 'balls are 0 for me .')"
1357,_deal,deal .,"(1357, 'deal')"
1358,_deal,sounds good,"(1358, 'deal')"
1359,_nodeal,no deal,"(1359, 'no deal')"
1360,_deal,deal,"(1360, 'deal')"
1361,_misc _books 1 _balls 1,ball and 1 book is my best offer .,"(1361, '1 book and 1 ball ?')"
1362,_misc _books 2 _hats 1 ,2 books and a hat,"(1362, '2 books and one hat ?')"
1363,_deal,deal,"(1363, 'deal')"
1364,_deal,okay,"(1364, 'deal')"
1365,_deal,sounds good,"(1365, 'deal')"
1366,_deal,okay,"(1366, 'deal')"
1367,_misc _books 2 _hats 2 ,2 books and 2 hats,"(1367, '2 books and 2 hats ?')"
1368,_deal,ok,"(1368, 'deal')"
1369,_deal,deal,"(1369, 'deal')"
1370,_counteroffer _need _hats 1 _balls 1,"bad deal for me , i take hat and one ball","(1370, 'i need the ball and hat .')"
1371,_misc _books 1 _balls 1,book plus one ball ?,"(1371, '1 book and 1 ball ?')"
1372,_misc _books 1 _hats 3 ,3 hats and 1 book and we have a deal,"(1372, '3 hats and one book ?')"
1373,_misc _books 1 _hats 1 ,1 hat 1 book,"(1373, '1 book and 1 hat ?')"
1374,_deal,deal,"(1374, 'deal')"
1375,_deal,deal .,"(1375, 'deal')"
1376,_deal,okay deal,"(1376, 'deal')"
1377,_deal,deal,"(1377, 'deal')"
1378,_deal,ok,"(1378, 'deal')"
1379,_deal,deal,"(1379, 'deal')"
1380,_deal,ok,"(1380, 'deal')"
1381,_nodeal,no deal,"(1381, 'no deal')"
1382,_deal,deal,"(1382, 'deal')"
1383,_offer _books 1 ,book for you,"(1383, '1 book for you ?')"
1384,_need _hats all _balls all,balls and hats for me,"(1384, 'all hats and balls for me ?')"
1385,_need _books 2 _balls 1,and i get the two books and the ball,"(1385, '2 books and 1 ball for me ?')"
1386,_deal,great,"(1386, 'deal')"
1387,_nodeal,no .,"(1387, 'no deal')"
1388,_deal,ok,"(1388, 'deal')"
1389,_deal,ok,"(1389, 'deal')"
1390,_deal,yup,"(1390, 'deal')"
1391,_nodeal,no deal,"(1391, 'no deal')"
1392,_deal,deal .,"(1392, 'deal')"
1393,_need _balls all _offer _books 1 ,balls are mine you can have one book though,"(1393, 'all i need is the ball and you can have the book .')"
1394,_deal,deal .,"(1394, 'deal')"
1395,_deal,okay,"(1395, 'deal')"
1396,_nodeal,are you serious ? how is that a legitmate offer ?,"(1396, 'no deal')"
1397,_misc _books 1 _hats 1 ,1 book 1 hat,"(1397, '1 book and 1 hat ?')"
1398,_deal,deal,"(1398, 'deal')"
1399,_deal,deal,"(1399, 'deal')"
1400,_deal,okay thank you !,"(1400, 'deal')"
1401,_deal,okay,"(1401, 'deal')"
1402,_deal,deal,"(1402, 'deal')"
1403,_deal,sounds good,"(1403, 'deal')"
