index,sentences,template
14074,no,_nodeal 
14077,no deal,_nodeal 
14078,no deal,_nodeal 
14080,no deal,_nodeal 
14081,agreed,_deal 
14082,yup,_deal 
14084,ok,_deal 
14085,deal,_deal 
14087,thx,_deal _thanks 
14088,yes,_deal 
14091,deal . thanks !,_deal _thanks 
14103,ok deal,_deal 
14108,"alright ,",_deal 
14114,deal,_deal 
14117,1 book,_misc (_books:1 ) 
14118,ball and 2 books for me,_need (_books:2 _balls:1) 
14119,deal,_deal 
14122,deal .,_deal 
14131,okay,_deal 
14134,ok,_deal 
14137,deal .,_deal 
14139,deal .,_deal 
14146,deal,_deal 
14148,deal,_deal 
14162,no deal,_nodeal 
14169,2 hats and 1 book then,_misc (_books:1 _hats:2 ) 
14172,thank you !,_deal 
14178,deal,_deal 
14195,no deal,_nodeal 
14201,ok,_deal 
14216,"ok , no deal",_nodeal 
14237,yes,_deal 
14240,okay,_deal 
14257,deal,_deal 
14262,yes,_deal 
14264,yeah no,_nodeal 
14266,deal,_deal 
14269,1 ball and 1 book for me ? deal,_need (_books:1 _balls:1) 
14277,deal,_deal 
14279,yes,_deal 
14289,ok deal,_deal 
14291,deal,_deal 
14294,deal,_deal 
14299,no,_nodeal 
14300,okay deal,_deal 
14306,thank you,_deal _thanks 
14311,ok deal,_deal 
14314,yes,_deal 
14322,okay thank you !,_deal 
14326,deal,_deal 
14329,deal .,_deal 
14336,deal,_deal 
14339,okay,_deal 
14340,no deal,_nodeal 
14345,no deal,_nodeal 
14346,no deal,_nodeal 
14349,no deal,_nodeal 
14375,ok,_deal 
14380,"all hats to you , book and balls to me",_need (_books:all _balls:all) _offer (_hats:all ) 
14385,deal,_deal 
14387,no deal,_nodeal 
14389,no deal,_nodeal 
14393,no deal .,_nodeal 
14395,no deal .,_nodeal 
14400,deal,_deal 
14404,never,_nodeal 
14405,all books for you and we call it even,_offer (_books:all ) 
14408,all books and the ball or hat,_misc (_books:all _hats:? _balls:?) 
14421,no deal,_nodeal 
14422,no deal,_nodeal 
14424,ok deal,_deal 
14428,ok deal .,_deal 
14432,thanks !,_deal _thanks 
14433,okay,_deal 
14445,no deal .,_nodeal 
14447,alright if i give you the ball then i take the rest .,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
14449,deal .,_deal 
14453,thanks !,_deal _thanks 
14456,all the hats ?,_misc (_hats:all ) 
14461,yes,_deal 
14463,okay,_deal 
14474,deal,_deal 
14479,deal,_deal 
14481,deal,_deal 
14493,ok deal,_deal 
14496,deal,_deal 
14499,yes,_deal 
14500,and i can take everything else ?,_need (_books:rest _hats:rest _balls:rest) 
14504,"book , two hats and one ball",_misc (_books:1 _hats:2 _balls:1) 
14509,okay deal .,_deal 
14519,okay thank you !,_deal 
14523,deal,_deal 
14542,yes .,_deal 
14551,deal,_deal 
14553,deal .,_deal 
14558,"agreed , need hat or no deal",_counteroffer _need (_hats:1 ) 
14559,yup,_deal 
14560,agreed,_deal 
14565,no deal,_nodeal 
14578,deal,_deal 
14584,no deal,_nodeal 
14585,no deal,_nodeal 
14590,no deal,_nodeal 
14596,ok,_deal 
14602,sure,_deal 
14606,agreed,_deal 
14607,nope,_nodeal 
14608,yes,_deal 
14611,no deal,_nodeal 
14612,no deal,_nodeal 
14613,no deal,_nodeal 
14614,hi,_greeting 
14619,yes,_deal 
14621,deal,_deal 
14622,yes,_deal 
14640,ball and two books,_need (_books:2 _balls:1) 
14644,i agree .,_deal 
14647,great !,_deal 
14648,okay,_deal 
14653,great,_deal 
14655,sure,_deal 
14660,ok .,_deal 
14664,fine,_deal 
14669,ok,_deal 
14673,okay deal,_deal 
14692,no deal,_nodeal 
14694,okay,_deal 
14695,sure,_deal 
14704,deal,_deal 
14707,ok,_deal 
14710,deal,_deal 
14721,ok,_deal 
14722,no,_nodeal 
14724,deal,_deal 
14725,deal,_deal 
14733,deal,_deal 
14734,ok,_deal 
14736,deal,_deal 
14742,ok deal,_deal 
14744,thank you,_deal _thanks 
14746,fine,_deal 
14749,no deal,_nodeal 
14750,no deal,_nodeal 
14751,no deal,_nodeal 
14754,no deal,_nodeal 
14755,no deal,_nodeal 
14756,no deal,_nodeal 
14758,sure,_deal 
14763,deal,_deal 
14772,deal .,_deal 
14776,book and hats,_misc (_books:1 _hats:all ) 
14777,book is mine or no deal,_need (_books:1 ) 
14778,no deal then,_nodeal 
14779,no deal,_nodeal 
14792,no deal,_nodeal 
14796,agreed,_deal 
14798,deal,_deal 
14810,sure,_deal 
14814,deal .,_deal 
14816,ok,_deal 
14817,all balls and either the hats or books to me,_need (_balls:all) 
14819,ok deal,_deal 
14828,deal,_deal 
14830,great,_deal 
14839,no,_nodeal 
14842,basketball and 4 books for me . hat for you ?,_need (_books:4 _balls:1) _offer (_hats:1 ) 
14845,4 books and the ball ?,_misc (_books:4 _balls:1) 
14850,okay .,_deal 
14858,thanks,_deal _thanks 
14859,yes,_deal 
14865,sure,_deal 
14867,deal .,_deal 
14873,no deal,_nodeal 
14874,no deal,_nodeal 
14878,no deal,_nodeal 
14879,no deal,_nodeal 
14884,okay,_deal 
14887,okay thank you !,_deal 
14891,great ! thank you !,_deal 
14906,no deal .,_nodeal 
14916,no deal .,_nodeal 
14918,no deal .,_nodeal 
14924,ok no deal,_nodeal 
14926,deal .,_deal 
14929,deal,_deal 
14938,no deal then .,_nodeal 
14940,deal .,_deal 
14946,deal,_deal 
14948,great !,_deal 
14958,"alright , alright - you take the books and the ball . i will ride off on my horse with that hat .",_deal _need (_hats:1 ) _offer (_books:all _balls:1) 
14960,deal,_deal 
14961,okay,_deal 
14963,deal,_deal 
14971,ok .,_deal 
14988,deal,_deal 
14990,ok,_deal 
15003,ok,_deal 
15007,deal .,_deal 
15009,ok,_deal 
15012,deal,_deal 
15024,deal,_deal 
15025,no,_nodeal 
15034,no,_nodeal 
15036,yes,_deal 
15042,deal,_deal 
15043,ok,_deal 
15045,deal,_deal 
15061,cool,_deal 
15082,no deal,_nodeal 
15083,no deal,_nodeal 
15086,no can do,_nodeal 
15088,no,_nodeal 
15092,"ok , no deal",_nodeal 
15094,ok,_deal 
15095,ok,_deal 
15097,all the hats ?,_misc (_hats:all ) 
15099,deal,_deal 
15103,yes .,_deal 
15108,ok,_deal 
15115,alright no deal .,_nodeal 
15116,no deal .,_nodeal 
15120,ok,_deal 
15129,deal,_deal 
15131,ok .,_deal 
15134,deal,_deal 
15140,deal,_deal 
15147,"alright then , i will take the balls and you can have the rest .",_need (_balls:all) _offer (_books:rest _hats:rest _balls:rest) 
15149,all the books and all the balls,_misc (_books:all _balls:all) 
15155,deal,_deal 
15159,okay deal .,_deal 
15171,deal,_deal 
15177,deal,_deal 
15182,best i can do is book and 2 hats or book and 2 balls,_misc (_books:1 _hats:2 ) 
15185,deal,_deal 
15188,ok,_deal 
15191,book and two hats for me,_need (_books:1 _hats:2 ) 
15193,no deal then,_nodeal 
15194,no deal,_nodeal 
15195,no deal,_nodeal 
15198,sorry no deal,_nodeal 
15199,no deal,_nodeal 
15200,no deal,_nodeal 
15202,"all the hats and the book , you get the ball .",_need (_books:1 _hats:all ) _offer (_balls:1) 
15206,agreed . no deal .,_nodeal 
15218,great ! thank you !,_deal 
15219,ok,_deal 
15233,"ok , deal",_deal 
15235,yes,_deal 
15238,yes,_deal 
15244,ok,_deal 
15245,balls and one hat for me,_need (_hats:1 _balls:all) 
15247,ok deal,_deal 
15250,ok,_deal 
15254,deal,_deal 
15264,sorry no deal,_nodeal 
15269,ok,_deal 
15279,okay .,_deal 
15288,yes,_deal 
15300,deal,_deal 
15308,"alright . is it 0 or minimal value ? i'll take books , but we need to know who gets the hat . i don't need it .",_yes _need (_books:all _hats:0 ) 
15314,okay deal .,_deal 
15322,ok,_deal 
15324,2 hats for 1 book and 2 balls,_need (_hats:2 ) _offer (_books:1 _balls:2) 
15325,3 hats for 1 book and 2 balls,_need (_hats:3 ) _offer (_books:1 _balls:2) 
15326,no deal,_nodeal 
15327,1 book and 1 ball for me,_need (_books:1 _balls:1) 
15330,book and 2 hats for me,_need (_books:1 _hats:2 ) 
15331,all hats and balls for me,_need (_hats:all _balls:all) 
15332,deal,_deal 
15338,deal,_deal 
15341,yes,_deal 
15343,ok no deal,_nodeal 
15348,no deal,_nodeal 
15349,okay,_deal 
15350,no .,_nodeal 
15357,ok,_deal 
15363,deal,_deal 
15368,yes,_deal 
15381,deal,_deal 
15384,okay,_deal 
15408,deal,_deal 
15411,deal,_deal 
15432,deal .,_deal 
15434,okay deal .,_deal 
15439,yes .,_deal 
15443,and you get the 3 books ?,_offer (_books:3 ) 
15444,deal,_deal 
15445,thank you,_deal _thanks 
15447,okay,_deal 
15449,thanks,_deal _thanks 
15451,deal .,_deal 
15454,hello,_greeting 
15456,ok,_deal 
15459,no deal,_nodeal 
15461,no deal,_nodeal 
15464,no deal,_nodeal 
15465,no deal,_nodeal 
15470,okay thank you !,_deal 
15474,ok deal,_deal 
15478,no deal,_nodeal 
15487,no deal,_nodeal 
15492,no deal,_nodeal 
15494,ok deal,_deal 
15495,deal,_deal 
15497,deal .,_deal 
15499,deal,_deal 
15501,great,_deal 
15505,ok deal,_deal 
15513,fine,_deal 
15516,ok,_deal 
15521,best i can do is the hat and all three books .,_misc (_books:3 _hats:1 ) 
15529,no deal,_nodeal 
15532,no deal,_nodeal 
15536,deal,_deal 
15551,okay great ! thank you !,_deal 
15552,no deal,_nodeal 
15555,deal,_deal 
15559,okay deal .,_deal 
15561,deal,_deal 
15564,ok,_deal 
15565,no deal,_nodeal 
15570,no deal,_nodeal 
15579,yes,_deal 
15583,ok deal,_deal 
15589,deal .,_deal 
15595,sounds good,_deal 
15597,yes,_deal 
15601,no deal,_nodeal 
15602,no deal,_nodeal 
15607,no deal,_nodeal 
15611,deal,_deal 
15615,no deal,_nodeal 
15616,no deal,_nodeal 
15620,no deal,_nodeal 
15621,no deal,_nodeal 
15622,deal,_deal 
15634,1 hat and the balls for you ?,_offer (_hats:1 _balls:all) 
15636,ok,_deal 
15637,ok,_deal 
15643,nope,_nodeal 
15649,ok deal,_deal 
15653,okay deal,_deal 
15655,never,_nodeal 
15660,ok deal,_deal 
15663,fine,_deal 
15676,3 balls and 1 book,_misc (_books:1 _balls:3) 
15679,deal,_deal 
15691,balls are 0 for me .,_need (_balls:0) 
15693,balls are 0 for me .,_need (_balls:0) 
15698,deal,_deal 
15699,agree,_deal 
15700,no deal,_nodeal 
15703,thx,_deal _thanks 
15706,no deal .,_nodeal 
15711,okay no deal .,_nodeal 
15712,okay no deal .,_nodeal 
15713,no deal .,_nodeal 
15716,ok,_deal 
15717,yes,_deal 
15736,ok,_deal 
15740,deal .,_deal 
15749,books and one hat to me,_need (_books:all _hats:1 ) 
15753,no deal,_nodeal 
15754,no deal,_nodeal 
15758,no deal .,_nodeal 
15762,okay,_deal 
15768,deal,_deal 
15776,ok,_deal 
15791,agreed !,_deal 
15794,okay,_deal 
15795,okay,_deal 
15800,ok,_deal 
15804,ball for you and rest for me . . . . deal,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
15808,ok,_deal 
15815,"a ball , 2 hats , and a side of slaw",_misc (_hats:2 _balls:1) 
15817,deal,_deal 
15830,sorry no deal,_nodeal 
15831,deal,_deal 
15837,ok,_deal 
15844,okay thanks .,_deal 
15845,okay,_deal 
15847,great,_deal 
15852,deal,_deal 
15855,"all hats to me , you have rest",_need (_hats:all ) _offer (_books:rest _hats:rest _balls:rest) 
15856,deal,_deal 
15857,deal,_deal 
15861,no deal,_nodeal 
15866,agreed . no deal .,_nodeal 
15868,agreed . no deal .,_nodeal 
15873,yes,_deal 
15882,deal,_deal 
15884,great ! thank you !,_deal 
15892,sure,_deal 
15894,ok deal,_deal 
15897,okay deal .,_deal 
15902,all books and ball to me,_need (_books:all _balls:all) 
15903,deal,_deal 
15908,deal,_deal 
15913,deal,_deal 
15915,any chance i can have the book and 2 hats ?,_need (_books:1 _hats:2 ) 
15927,no deal .,_nodeal 
15928,no deal .,_nodeal 
15932,no deal .,_nodeal 
15933,agreed . no deal .,_nodeal 
15934,ok,_deal 
15939,okay great ! thank you !,_deal 
15941,yes,_deal 
15942,deal,_deal 
15946,deal,_deal 
15952,okay deal .,_deal 
15958,deal .,_deal 
15959,deal,_deal 
15962,okay thank you !,_deal 
15964,ok,_deal 
15970,ok deal .,_deal 
15972,deal .,_deal 
15974,and i get the hat,_need (_hats:1 ) 
15980,sure,_deal 
15984,no,_nodeal 
15986,ok no deal,_nodeal 
15988,yep,_deal 
15992,ok,_deal 
15996,yes,_deal 
16004,"ok , deal",_deal 
16009,no deal .,_nodeal 
16010,no deal,_nodeal 
16014,no deal,_nodeal 
16015,deal .,_deal 
16019,"ok , no deal",_nodeal 
16026,yes,_deal 
16032,nope,_nodeal 
16033,deal,_deal 
16036,deal,_deal 
16047,deal,_deal 
16053,no deal .,_nodeal 
16054,no deal,_nodeal 
16055,no deal,_nodeal 
16059,no deal,_nodeal 
16060,no deal,_nodeal 
16062,no deal,_nodeal 
16063,no deal,_nodeal 
16064,no,_nodeal 
16071,ok,_deal 
16073,"awesome , deal .",_deal 
16077,ok deal,_deal 
16090,yep,_deal 
16094,ok,_deal 
16095,ok,_deal 
16100,ok deal,_deal 
16101,ok,_deal 
16112,okay,_deal 
16119,ok,_deal 
16123,deal .,_deal 
16124,ok deal,_deal 
16139,no deal then,_nodeal 
16141,bet no deal,_nodeal 
16142,no deal,_nodeal 
16144,no deal,_nodeal 
16146,no deal,_nodeal 
16147,no deal,_nodeal 
16151,cool,_deal 
16158,okay deal .,_deal 
16169,no,_nodeal 
16173,no deal,_nodeal 
16174,no deal,_nodeal 
16176,agreed . no deal .,_nodeal 
16178,no deal .,_nodeal 
16179,agreed .,_deal 
16182,yep,_deal 
16183,agreed,_deal 
16184,yes,_deal 
16199,and i told you no .,_nodeal 
16202,then no deal,_nodeal 
16203,no deal,_nodeal 
16204,no deal,_nodeal 
16212,okay,_deal 
16223,deal,_deal 
16232,great,_deal 
16233,deal .,_deal 
16237,yes,_deal 
16242,ok,_deal 
16246,great !,_deal 
16247,deal,_deal 
16248,deal,_deal 
16250,alright deal,_deal 
16258,"book is 7 for me , so no",_counteroffer _need (_books:1 ) 
16259,indeed,_deal 
16272,deal,_deal 
16276,deal,_deal 
16277,okay,_deal 
16279,deal,_deal 
16282,okay thank you !,_deal 
16283,"ball and book to me , else to you",_need (_books:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
16284,ok,_deal 
16285,ball you can have the rest,_need (_balls:1) _offer (_books:rest _hats:rest _balls:rest) 
16287,deal,_deal 
16293,okay thank you !,_deal 
16296,okay,_deal 
16300,"again , i get 2 balls and 1 hat and then i have 3 items and you have 4",_need (_hats:1 _balls:2) 
16325,i can't do that,_nodeal 
16326,yes,_deal 
16334,ok deal,_deal 
16344,no deal,_nodeal 
16346,no deal .,_nodeal 
16360,okay,_deal 
16364,deal .,_deal 
16368,ok deal,_deal 
16370,i agree .,_deal 
16371,ok .,_deal 
16377,deal,_deal 
16381,okay,_deal 
16387,deal,_deal 
16392,alright i'll take a hat and a book,_need (_books:1 _hats:1 ) 
16396,awesome . pleasure doing business with you .,_deal 
16405,yup no deal,_nodeal 
16406,no deal,_nodeal 
16407,no deal,_nodeal 
16408,deal,_deal 
16412,sure,_deal 
16414,ok,_deal 
16420,deal,_deal 
16422,3 balls ? gimme hats and book,_need (_books:1 _hats:all ) _offer (_balls:3) 
16424,deal,_deal 
16427,no deal .,_nodeal 
16428,no deal .,_nodeal 
16429,no deal .,_nodeal 
16432,no deal then,_nodeal 
16433,no deal,_nodeal 
16434,no deal,_nodeal 
16438,no deal,_nodeal 
16439,no deal,_nodeal 
16442,no deal,_nodeal 
16443,no deal,_nodeal 
16444,no deal,_nodeal 
16445,hello,_greeting 
16447,and i get the hat and basketballs ?,_need (_hats:1 _balls:all) 
16449,hi,_greeting 
16451,yes,_deal 
16455,no,_nodeal 
16456,no,_nodeal 
16460,no deal,_nodeal 
16461,no deal,_nodeal 
16480,ok,_deal 
16483,no,_nodeal 
16485,no,_nodeal 
16486,deal,_deal 
16494,ok deal,_deal 
16528,okay great ! thank you !,_deal 
16538,yes,_deal 
16541,ok,_deal 
16543,balls and hat then,_misc (_hats:1 _balls:all) 
16546,great ! thank you !,_deal 
16548,thank you !,_deal 
16553,no deal,_nodeal 
16557,alright then it wont work,_nodeal 
16559,deal .,_deal 
16560,"ball to me , along with 3 hats",_need (_hats:3 _balls:1) 
16562,thanks,_deal _thanks 
16567,"agreed , no deal",_nodeal 
16568,nope,_nodeal 
16572,no deal,_nodeal 
16573,no deal,_nodeal 
16585,ok deal,_deal 
16587,deal !,_deal 
16599,are you taking the hat or book ?,_offer (_books:? _hats:? ) 
16600,"actually that was a typo on my end , sorry . i'll take the 1 hat and the 1 ball , you take the 3 books ?",_need (_hats:1 _balls:1) _offer (_books:3 ) 
16601,sounds good .,_deal 
16610,okay great ! thank you !,_deal 
16615,1 hat and 1 ball,_misc (_hats:1 _balls:1) 
16621,agreed . no deal,_nodeal 
16628,great,_deal 
16630,okay deal,_deal 
16636,no deal .,_nodeal 
16642,ok,_deal 
16646,add another ball and we call it the,_misc (_balls:1) 
16648,deal,_deal 
16660,no deal,_nodeal 
16661,deal,_deal 
16662,deal,_deal 
16669,okay,_deal 
16674,ok deal,_deal 
16676,okay deal .,_deal 
16678,sure,_deal 
16679,"all balls to me , the rest to you",_need (_balls:all) _offer (_books:rest _hats:rest ) 
16688,deal,_deal 
16695,i can't do that,_nodeal 
16696,ok,_deal 
16698,deal .,_deal 
16707,great,_deal 
16711,agreed . now just waiting for the button .,_deal 
16722,deal,_deal 
16732,no deal .,_nodeal 
16734,great,_deal 
16736,deal,_deal 
16737,2 balls and the hat .,_misc (_hats:1 _balls:2) 
16739,okay,_deal 
16741,deal .,_deal 
16745,deal,_deal 
16747,deal .,_deal 
16750,deal,_deal 
16753,no deal,_nodeal 
16755,deal,_deal 
16757,no deal,_nodeal 
16758,okay,_deal 
16761,ok,_deal 
16767,and the hat ?,_misc (_hats:1 ) 
16770,okay,_deal 
16777,"alright then , i will take 2 books and you can have the rest .",_need (_books:2 ) _offer (_books:rest _hats:rest _balls:rest) 
16780,deal,_deal 
16787,no deal .,_nodeal 
16790,no deal .,_nodeal 
16792,no deal .,_nodeal 
16795,"ok , deal .",_deal 
16800,deal,_deal 
16802,ok,_deal 
16804,"ball to you , rest to me",_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
16805,deal,_deal 
16808,ball and books for me,_need (_books:all _balls:1) 
16809,ok deal,_deal 
16815,okay,_deal 
16817,deal,_deal 
16819,ok deal,_deal 
16821,ok deal,_deal 
16824,1 book 4 hat 1 ball,_misc (_books:1 _hats:4 _balls:1) 
16832,"okay , deal .",_deal 
16835,no deal,_nodeal 
16839,deal .,_deal 
16842,: / that doesn't add up for me . i guess you can have the rest if i get the hat,_counteroffer _need (_hats:1 ) _offer (_books:all _balls:all) 
16845,sure,_deal 
16856,deal,_deal 
16860,deal .,_deal 
16871,no deal,_nodeal 
16872,no deal,_nodeal 
16873,no deal,_nodeal 
16875,no deal,_nodeal 
16876,no deal,_nodeal 
16877,no deal,_nodeal 
16878,no deal,_nodeal 
16888,deal .,_deal 
16890,all i want is the hats .,_need (_hats:all ) 
16891,deal,_deal 
16893,ok,_deal 
16895,sounds good,_deal 
16897,great ! thank you !,_deal 
16899,ok deal,_deal 
16902,no deal,_nodeal 
16903,agreed,_deal 
16905,yes,_deal 
16912,sounds good,_deal 
16914,agreed .,_deal 
16916,ok,_deal 
16922,no deal,_nodeal 
16923,no deal,_nodeal 
16926,then no deal,_nodeal 
16927,no deal,_nodeal 
16928,no deal,_nodeal 
16930,any chance you'll take the hat and two books and leave me one book and two balls ?,_need (_books:1 _balls:2) _offer (_books:2 _hats:1 ) 
16931,deal,_deal 
16934,thanks !,_deal _thanks 
16944,no deal .,_nodeal 
16947,balls and books for me,_need (_books:all _balls:all) 
16948,deal,_deal 
16955,deal,_deal 
16958,okay great !,_deal 
16960,deal,_deal 
16969,deal !,_deal 
16970,ok,_deal 
16974,deal .,_deal 
16982,yes,_deal 
16987,deal,_deal 
16988,agreed i will take the rest,_deal _need (_books:rest _hats:rest _balls:rest) 
16993,ok,_deal 
16996,agreed,_deal 
17006,yup,_deal 
17007,yup,_deal 
17008,yup,_deal 
17010,ok .,_deal 
17025,deal,_deal 
17039,thanks,_deal _thanks 
17041,fine,_deal 
17054,no deal,_nodeal 
17060,are we agreeing on no deal,_nodeal 
17062,okay .,_deal 
17065,great,_deal 
17067,ok deal,_deal 
17072,ok,_deal 
17075,ok,_deal 
17079,deal .,_deal 
17082,deal .,_deal 
17084,okay deal,_deal 
17095,no deal .,_nodeal 
17101,deal,_deal 
17102,deal,_deal 
17106,deal .,_deal 
17107,yes .,_deal 
17113,yes,_deal 
17114,yes,_deal 
17116,no deal,_nodeal 
17119,yes,_deal 
17121,ok deal,_deal 
17131,deal,_deal 
17134,deal .,_deal 
17137,balls and hats to me,_need (_hats:all _balls:all) 
17140,deal .,_deal 
17143,deal,_deal 
17146,ok deal,_deal 
17154,no deal,_nodeal 
17155,no deal,_nodeal 
17157,book is my sine qua non too,_need (_books:1 ) 
17158,no deal,_nodeal 
17160,no deal,_nodeal 
17161,ok,_deal 
17172,deal . thank you .,_deal _thanks 
17180,deal,_deal 
17183,sounds good,_deal 
17185,deal .,_deal 
17190,nope,_nodeal 
17191,ok .,_deal 
17193,deal .,_deal 
17197,agreed .,_deal 
17199,sure,_deal 
17204,i can do that,_deal 
17213,deal .,_deal 
17214,"alright , you can have the rest , deal ?",_offer (_books:rest _hats:rest _balls:rest) 
17218,sounds good,_deal 
17223,no deal .,_nodeal 
17231,thanks,_deal _thanks 
17233,deal,_deal 
17234,yes,_deal 
17237,1 ball,_misc (_balls:1) 
17241,ok,_deal 
17242,sounds good,_deal 
17244,deal,_deal 
17249,then no deal,_nodeal 
17256,yes,_deal 
17261,no deal,_nodeal 
17267,no deal,_nodeal 
17269,agreed .,_deal 
17282,ok,_deal 
17284,yes .,_deal 
17285,ok,_deal 
17288,deal,_deal 
17292,ok .,_deal 
17297,okay .,_deal 
17310,okay deal .,_deal 
17311,book and balls for me,_need (_books:1 _balls:all) 
17312,all the hats to you for both balls and the book,_need (_books:1 _balls:all) _offer (_hats:all ) 
17313,ok deal,_deal 
17316,deal,_deal 
17318,ok,_deal 
17320,okay,_deal 
17327,no deal,_nodeal 
17331,nope,_nodeal 
17339,deal !,_deal 
17344,deal,_deal 
17346,ok,_deal 
17349,okay great ! thank you !,_deal 
17356,deal,_deal 
17360,thank you,_deal _thanks 
17362,ok deal,_deal 
17372,"0 , they are worth 0 . i need ball .",_need (_balls:all) 
17373,ok,_deal 
17379,no deal,_nodeal 
17380,no deal,_nodeal 
17381,no deal,_nodeal 
17382,no deal,_nodeal 
17384,no deal,_nodeal 
17385,no deal,_nodeal 
17386,no deal,_nodeal 
17387,no deal,_nodeal 
17391,alright .,_deal 
17397,ok deal,_deal 
17400,thanks !,_deal _thanks 
17402,2 hats and a book for me,_need (_books:1 _hats:2 ) 
17411,then no deal,_nodeal 
17413,deal .,_deal 
17421,"agreed , you get the hats and a book , i get the ball and a book .",_deal _need (_books:1 _balls:1) _offer (_books:1 _hats:all ) 
17425,deal !,_deal 
17427,"ball worth little , gimme hat and 2 books",_need (_books:2 _hats:1 ) 
17428,no deal,_nodeal 
17429,deal,_deal 
17433,yes,_deal 
17435,yep,_deal 
17436,and i need one hat and 1 book,_need (_books:1 _hats:1 ) 
17443,okay deal,_deal 
17449,thank you,_deal _thanks 
17455,ok .,_deal 
17459,no deal,_nodeal 
17460,no deal,_nodeal 
17464,no deal,_nodeal 
17465,no deal,_nodeal 
17470,ok,_deal 
17472,great,_deal 
17473,deal .,_deal 
17486,ok deal,_deal 
17488,sure,_deal 
17492,no deal,_nodeal 
17493,and still no deal,_nodeal 
17497,no deal,_nodeal 
17503,deal,_deal 
17508,"book i ment sorry , 2 books for me rrest for you",_need (_books:2 ) _offer (_books:rest _hats:rest _balls:rest) 
17511,ok deal,_deal 
17518,deal .,_deal 
17526,great,_deal 
17530,yes,_deal 
17534,okay deal .,_deal 
17537,deal,_deal 
17564,ok deal,_deal 
17568,sure,_deal 
17570,deal .,_deal 
17583,okay great !,_deal 
17585,deal,_deal 
17586,deal,_deal 
17592,ok,_deal 
17593,all i need is the ball,_need (_balls:all) 
17594,deal,_deal 
17598,deal,_deal 
17601,deal .,_deal 
17606,deal .,_deal 
17610,deal,_deal 
17617,deal,_deal 
17620,okay deal .,_deal 
17630,deal . thank you !,_deal _thanks 
17637,deal .,_deal 
17642,deal,_deal 
17643,1 hat 1 book 1 ball and you tak the rest,_need (_books:1 _hats:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
17644,2 books 1 hat 1 ball,_misc (_books:2 _hats:1 _balls:1) 
17645,okay,_deal 
17646,allbooks all hats and you th ball,_need (_books:all _hats:all ) _offer (_balls:1) 
17647,2 hats 1 ball for u,_offer (_hats:2 _balls:1) 
17650,deal,_deal 
17655,no deal,_nodeal 
17656,no deal,_nodeal 
17660,no deal,_nodeal 
17661,no deal,_nodeal 
17662,no deal,_nodeal 
17664,ok,_deal 
17673,ok deal,_deal 
17689,no deal,_nodeal 
17690,no deal,_nodeal 
17692,are the books not worth for you ?,_misc (_books:all ) 
17694,no deal,_nodeal 
17695,no deal,_nodeal 
17697,okay deal .,_deal 
17702,sounds good .,_deal 
17705,"again , we have different values to each item . i'm open to a counter offer . i am treating you with respect and i would appreciate the same from you .",_nodeal 
17706,deal . you see how we can work together ? hope you have a wonderful and blessed day !,_deal 
17707,are you kidding ? this is not how this works,_nodeal 
17710,"same , thanks",_deal 
17714,ok,_deal 
17718,ok deal .,_deal 
17719,all you want is the hats and i can take everything else ?,_need (_books:rest _hats:rest _balls:rest) _offer (_hats:all ) 
17720,deal .,_deal 
17722,yes,_deal 
17727,2 hats and a ball or 2 balls and a hat .,_misc (_hats:2 _balls:1) 
17730,alright 1 hat and 1 ball for me and you get the rest,_yes _need (_hats:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
17733,as long as i can have everything else ?,_need (_books:rest _hats:rest _balls:rest) 
17735,sure,_deal 
17738,yes .,_deal 
17741,ok,_deal 
17743,"ok , deal",_deal 
17753,no deal .,_nodeal 
17759,nd,_nodeal 
17762,ok,_deal 
17764,okay great ! thank you !,_deal 
17765,deal,_deal 
17768,deal,_deal 
17781,thanks .,_deal 
17788,i can do that,_deal 
17791,yes,_deal 
17793,deal,_deal 
17795,yes .,_deal 
17811,deal,_deal 
17814,deal,_deal 
17816,balls are 0 . hat is 1 .,_need (_balls:0) 
17824,"balls to me , else to you",_need (_balls:all) _offer (_books:rest _hats:rest _balls:rest) 
17826,yes,_deal 
17827,great ! thank you !,_deal 
17829,deal,_deal 
17831,deal .,_deal 
17835,ok deal,_deal 
17836,deal,_deal 
17854,deal .,_deal 
17857,nope,_nodeal 
17865,deal,_deal 
17871,i can do that,_deal 
17873,great,_deal 
17877,balls are 0 - no hat no deal,_need (_hats:1 _balls:0) 
17888,okay,_deal 
17892,alright .,_deal 
17895,deal,_deal 
17896,yes,_deal 
17904,deal !,_deal 
17912,2 balls 1 hat for me,_need (_hats:1 _balls:2) 
17918,books and hats for me,_need (_books:all _hats:all ) 
17919,ok deal,_deal 
17922,okay thank you !,_deal 
17924,ok,_deal 
17926,"alright , i take book and 1 ball ; you take hats and 1 ball ?",_deal _need (_books:1 _balls:1) _offer (_hats:all _balls:1) 
17929,nope,_nodeal 
17934,i can't do that,_nodeal 
17935,no deal,_nodeal 
17936,okay,_deal 
